Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-25,12.97,13.19,12.76,12.95,283948,-0.02,0.43,-0.15,3.32,0.21,1
2023-08-24,13.36,13.36,12.88,12.91,443389,-0.45,0.48,-3.49,3.72,0.24,-1
2023-08-23,13.18,13.44,12.97,13.42,360209,0.24,0.47,1.79,3.51,0.24,1
2023-08-22,13.11,13.44,13.08,13.15,336022,0.04,0.36,0.3,2.74,0.18,1
2023-08-21,12.95,13.17,12.72,13.02,549677,0.07,0.45,0.54,3.46,0.22,1
2023-08-18,12.91,13.16,12.77,12.97,541960,0.06,0.39,0.46,3.01,0.2,-1
2023-08-17,13.35,13.57,12.96,13.17,384263,-0.18,0.61,-1.37,4.63,0.31,-1
2023-08-16,13.66,13.79,13.23,13.32,397519,-0.34,0.56,-2.55,4.2,0.28,-1
2023-08-15,13.97,13.99,13.65,13.8,304245,-0.17,0.34,-1.23,2.46,0.17,-1
2023-08-14,14.09,14.17,13.84,14.13,247826,0.04,0.33,0.28,2.34,0.17,-1
2023-08-11,14.1,14.43,13.85,14.23,297582,0.13,0.58,0.91,4.08,0.29,1
2023-08-10,14.31,14.65,14.13,14.19,382982,-0.12,0.52,-0.85,3.66,0.26,-1
2023-08-09,14.67,14.68,14.19,14.3,430688,-0.37,0.49,-2.59,3.43,0.25,-1
2023-08-08,14.07,14.74,13.94,14.67,438397,0.6,0.8,4.09,5.45,0.4,1
2023-08-07,14.52,14.52,14.03,14.36,443264,-0.16,0.49,-1.11,3.41,0.25,-1
2023-08-04,14.36,14.87,14.36,14.54,433441,0.18,0.51,1.24,3.51,0.25,1
2023-08-03,14.26,14.49,13.97,14.32,383430,0.06,0.52,0.42,3.61,0.26,-1
2023-08-02,14.57,14.68,14.14,14.4,409068,-0.17,0.54,-1.18,3.78,0.27,-1
2023-08-01,14.86,15.11,14.53,14.98,436840,0.12,0.58,0.8,3.9,0.29,-1
2023-07-31,14.59,15.11,14.55,15.02,777633,0.43,0.56,2.86,3.7,0.28,1
2023-07-28,14.34,14.76,14.27,14.49,406000,0.15,0.49,1.04,3.38,0.25,1
2023-07-27,14.32,14.53,13.85,14.13,571240,-0.19,0.68,-1.34,4.85,0.34,-1
2023-07-26,13.38,14.24,13.35,14.15,491248,0.77,0.89,5.44,6.29,0.45,1
2023-07-25,13.45,13.71,13.32,13.49,311175,0.04,0.4,0.3,2.93,0.2,1
2023-07-24,13.35,13.49,13.02,13.39,378026,0.04,0.47,0.3,3.51,0.24,1
2023-07-21,13.99,14.02,13.27,13.38,403837,-0.61,0.75,-4.56,5.61,0.38,-1
2023-07-20,14.32,14.49,13.64,13.81,502677,-0.51,0.85,-3.69,6.15,0.42,-1
