Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-21,3.89,3.96,3.86,3.89,386793,0.0,0.1,0.0,2.57,0.05,3.17,3.22,0.2,0.16,0.04,32318523,30.6,96.67,0.0,1.0,96.67,Strong Buy Signal,4.02,3.17,2.32,0.54,58.56,Target Volume,Expected Range,18.48,Absent or Weak Trend
2023-07-20,4.07,4.11,3.81,3.85,745131,-0.22,0.3,-5.71,7.79,0.15,3.14,3.2,0.2,0.15,0.05,31931730,30.6,98.33,0.0,1.0,98.33,Strong Buy Signal,4.01,3.14,2.27,0.55,58.24,Target Volume,Expected Range,18.27,Absent or Weak Trend
2023-07-19,4.17,4.18,4.03,4.07,789172,-0.1,0.15,-2.46,3.81,0.08,3.11,3.18,0.2,0.14,0.07,32676861,37.51,100.0,0.0,1.0,100.0,Strong Buy Signal,4.0,3.11,2.23,0.57,60.81,Trending Low,Bearish Trend,18.07,Absent or Weak Trend
2023-07-18,3.94,4.01,3.87,3.99,823703,0.05,0.14,1.25,3.51,0.07,3.08,3.15,0.18,0.12,0.06,31887689,34.83,100.0,0.0,1.0,100.0,Strong Buy Signal,3.97,3.08,2.19,0.58,60.18,Trending Low,Bearish Trend,17.74,Absent or Weak Trend
2023-07-17,3.77,3.96,3.68,3.91,750656,0.14,0.28,3.58,7.16,0.14,3.05,3.12,0.16,0.11,0.05,31063986,34.01,100.0,1.67,1.0,98.33,Strong Buy Signal,3.95,3.05,2.15,0.59,59.54,Target Volume,Expected Range,17.45,Absent or Weak Trend
2023-07-14,3.86,3.93,3.75,3.76,573532,-0.1,0.18,-2.66,4.79,0.09,3.02,3.09,0.13,0.09,0.04,30313330,36.37,100.0,3.33,1.0,96.67,Strong Buy Signal,3.93,3.02,2.11,0.6,58.31,Target Volume,Expected Range,17.17,Absent or Weak Trend
2023-07-13,3.54,3.91,3.54,3.86,1772564,0.32,0.37,8.29,9.59,0.19,2.99,3.07,0.11,0.09,0.03,30886862,36.05,100.0,5.0,1.0,95.0,Strong Buy Signal,3.91,2.99,2.07,0.62,59.5,Target Volume,Expected Range,16.84,Absent or Weak Trend
2023-07-12,3.46,3.53,3.42,3.5,324727,0.04,0.1,1.14,3.0,0.05,2.96,3.04,0.08,0.08,-0.0,29114298,29.51,100.0,6.67,1.0,93.33,Strong Buy Signal,3.88,2.96,2.04,0.62,56.36,Target Volume,Expected Range,16.52,Absent or Weak Trend
2023-07-11,3.32,3.45,3.27,3.43,462298,0.11,0.18,3.21,5.21,0.09,2.94,3.03,0.07,0.08,-0.01,28789571,27.99,46.67,8.33,1.0,38.33,Weak Buy Signal,3.87,2.94,2.0,0.64,55.7,Target Volume,Expected Range,16.29,Absent or Weak Trend
2023-07-10,3.25,3.33,3.22,3.27,243134,0.02,0.11,0.61,3.36,0.05,2.91,3.01,0.06,0.08,-0.02,28327273,25.61,48.33,10.0,1.0,38.33,Weak Buy Signal,3.86,2.91,1.97,0.65,54.15,Target Volume,Expected Range,16.1,Absent or Weak Trend
2023-07-07,3.29,3.36,3.23,3.25,404797,-0.04,0.13,-1.23,4.0,0.06,2.89,3.0,0.07,0.09,-0.02,28084139,25.95,50.0,11.67,1.0,38.33,Weak Buy Signal,3.86,2.89,1.93,0.67,53.95,Target Volume,Expected Range,15.94,Absent or Weak Trend
2023-07-06,3.29,3.33,3.25,3.28,382714,-0.01,0.08,-0.3,2.44,0.04,2.88,3.0,0.07,0.09,-0.02,28488936,25.36,51.67,13.33,1.0,38.33,Weak Buy Signal,3.85,2.88,1.9,0.68,54.3,Target Volume,Expected Range,15.77,Absent or Weak Trend
2023-07-05,3.29,3.35,3.25,3.32,523473,0.03,0.1,0.9,3.01,0.05,2.86,2.99,0.08,0.1,-0.02,28871650,25.36,53.33,15.0,1.0,38.33,Weak Buy Signal,3.85,2.86,1.87,0.69,54.76,Target Volume,Expected Range,15.6,Absent or Weak Trend
2023-07-03,3.31,3.38,3.27,3.33,134803,0.02,0.11,0.6,3.43,0.06,2.84,2.98,0.09,0.1,-0.02,29395123,25.87,55.0,16.67,1.0,38.33,Weak Buy Signal,3.84,2.84,1.84,0.7,54.87,Target Volume,Expected Range,15.44,Absent or Weak Trend
2023-06-30,3.31,3.36,3.26,3.3,426490,-0.01,0.1,-0.3,3.03,0.05,2.82,2.96,0.09,0.11,-0.02,29260320,25.49,56.67,18.33,1.0,38.33,Weak Buy Signal,3.82,2.82,1.82,0.71,54.59,Target Volume,Expected Range,15.26,Absent or Weak Trend
2023-06-29,3.46,3.48,3.31,3.32,260414,-0.14,0.17,-4.22,5.12,0.08,2.8,2.95,0.1,0.11,-0.01,29686810,27.1,58.33,20.0,1.0,38.33,Weak Buy Signal,3.81,2.8,1.79,0.72,54.82,Target Volume,Expected Range,15.09,Absent or Weak Trend
2023-06-28,3.3,3.46,3.3,3.46,461157,0.16,0.16,4.62,4.62,0.08,2.78,2.94,0.1,0.11,-0.01,29947224,26.73,60.0,21.67,1.0,38.33,Weak Buy Signal,3.79,2.78,1.77,0.73,56.4,Target Volume,Expected Range,14.88,Absent or Weak Trend
2023-06-27,3.22,3.31,3.18,3.3,217796,0.08,0.13,2.42,3.94,0.06,2.76,2.92,0.09,0.12,-0.02,29486067,23.89,61.67,23.33,1.0,38.33,Weak Buy Signal,3.77,2.76,1.76,0.73,54.94,Target Volume,Expected Range,14.68,Absent or Weak Trend
2023-06-26,3.3,3.33,3.21,3.21,275062,-0.09,0.12,-2.8,3.74,0.06,2.74,2.91,0.1,0.12,-0.02,29268271,24.84,63.33,25.0,1.0,38.33,Weak Buy Signal,3.75,2.74,1.74,0.73,54.08,Target Volume,Expected Range,14.53,Absent or Weak Trend
2023-06-23,3.3,3.33,3.26,3.28,215930,-0.02,0.07,-0.61,2.13,0.04,2.73,2.9,0.11,0.13,-0.02,29543333,26.43,65.0,26.67,1.0,38.33,Weak Buy Signal,3.73,2.73,1.72,0.74,54.88,Target Volume,Expected Range,14.35,Absent or Weak Trend
2023-06-22,3.21,3.36,3.18,3.35,662190,0.14,0.17,4.18,5.07,0.08,2.71,2.89,0.11,0.13,-0.02,29759263,26.43,66.67,28.33,1.0,38.33,Weak Buy Signal,3.72,2.71,1.69,0.75,55.68,Target Volume,Expected Range,14.15,Absent or Weak Trend
