Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,2.21,2.27,2.15,2.27,30438336,0.06,0.12,2.64,5.29,0.06,1
2023-08-17,2.12,2.23,2.11,2.19,36445830,0.07,0.12,3.2,5.48,0.06,1
2023-08-16,2.15,2.2,2.09,2.12,35106860,-0.03,0.11,-1.65,5.19,0.06,1
2023-08-15,2.09,2.22,2.02,2.11,43097242,0.02,0.2,0.95,9.48,0.1,1
2023-08-14,2.04,2.15,1.85,2.07,125431481,0.03,0.3,1.45,14.73,0.15,1
2023-08-11,1.75,1.85,1.74,1.78,46649272,0.03,0.12,1.69,6.46,0.06,1
2023-08-10,1.74,1.76,1.73,1.75,3632813,0.01,0.03,0.57,2.0,0.02,1
2023-08-09,1.73,1.79,1.73,1.73,4202768,0.0,0.06,0.0,3.47,0.03,-1
2023-08-08,1.8,1.84,1.73,1.73,11048963,-0.07,0.11,-4.05,6.36,0.06,-1
2023-08-07,1.78,1.8,1.71,1.77,15659592,-0.01,0.09,-0.56,5.08,0.05,-1
2023-08-04,1.78,1.84,1.78,1.79,8083851,0.01,0.06,0.56,3.35,0.03,1
2023-08-03,1.8,1.82,1.78,1.78,9945825,-0.02,0.04,-1.12,2.25,0.02,-1
2023-08-02,1.78,1.84,1.75,1.81,8909496,0.03,0.09,1.66,4.97,0.05,1
2023-08-01,1.8,1.83,1.79,1.8,6906422,0.0,0.04,0.0,2.22,0.02,-1
2023-07-31,1.8,1.87,1.79,1.85,8253800,0.05,0.08,2.7,4.32,0.04,1
2023-07-28,1.84,1.87,1.78,1.8,14020970,-0.04,0.09,-2.22,5.0,0.05,-1
2023-07-27,1.76,1.87,1.74,1.86,20682479,0.1,0.13,5.38,6.99,0.07,1
2023-07-26,1.8,1.83,1.74,1.76,18228604,-0.04,0.09,-2.27,5.11,0.05,-1
2023-07-25,1.89,1.89,1.74,1.77,28838357,-0.12,0.15,-6.78,8.47,0.07,-1
2023-07-24,1.72,1.8,1.63,1.8,59889492,0.08,0.17,4.44,9.44,0.09,-1
2023-07-21,1.84,1.85,1.75,1.8,57109803,-0.04,0.1,-2.22,5.56,0.05,-1
