Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-02,0.22,0.22,0.2,0.21,2890,-0.01,0.02,-2.37,7.63,0.01,0.21,0.23,0.01,0.0,0.0,14456992,4.85,41.67,66.67,-1.0,-25.0,Weak Sell Signal,0.25,0.21,0.16,0.43,41.47,Target Volume,Expected Range,5.16,Absent or Weak Trend
2023-08-01,0.2,0.22,0.2,0.22,5402,0.02,0.03,9.64,11.45,0.01,0.21,0.23,0.01,0.0,0.0,14459882,4.85,43.33,68.33,-1.0,-25.0,Weak Sell Signal,0.25,0.21,0.16,0.43,41.7,Target Volume,Expected Range,5.17,Absent or Weak Trend
2023-07-31,0.22,0.22,0.2,0.22,12521,0.01,0.02,2.67,9.82,0.01,0.21,0.23,0.01,0.0,0.0,14465284,5.06,45.0,70.0,-1.0,-25.0,Weak Sell Signal,0.25,0.21,0.16,0.43,41.73,Target Volume,Expected Range,5.18,Absent or Weak Trend
2023-07-28,0.22,0.24,0.2,0.22,15316,0.0,0.04,0.0,18.26,0.02,0.21,0.23,0.01,0.0,0.0,14452763,5.06,0.0,71.67,-1.0,-71.67,Strong Sell Signal,0.25,0.21,0.16,0.43,41.53,Target Volume,Expected Range,5.18,Absent or Weak Trend
2023-07-27,0.23,0.23,0.23,0.23,25883,0.0,0.01,0.0,2.5,0.0,0.21,0.23,0.01,0.0,0.01,14468079,3.3,1.67,73.33,-1.0,-71.67,Strong Sell Signal,0.25,0.21,0.16,0.43,41.84,Target Volume,Expected Range,5.18,Absent or Weak Trend
2023-07-26,0.24,0.24,0.22,0.23,10650,-0.01,0.02,-3.84,9.26,0.01,0.21,0.23,0.01,-0.0,0.01,14442196,3.3,3.33,75.0,-1.0,-71.67,Strong Sell Signal,0.25,0.21,0.16,0.44,41.8,Target Volume,Expected Range,5.21,Absent or Weak Trend
2023-07-25,0.22,0.24,0.22,0.22,10347,0.0,0.02,1.65,9.37,0.01,0.21,0.23,0.0,-0.0,0.01,14431546,3.57,0.0,76.67,-1.0,-76.67,Strong Sell Signal,0.25,0.21,0.16,0.45,41.53,Target Volume,Expected Range,5.24,Absent or Weak Trend
2023-07-24,0.23,0.23,0.22,0.22,8962,-0.01,0.02,-5.95,8.84,0.01,0.21,0.23,0.0,-0.0,0.01,14421199,3.66,0.0,78.33,-1.0,-78.33,Strong Sell Signal,0.25,0.21,0.16,0.46,41.41,Target Volume,Expected Range,5.27,Absent or Weak Trend
2023-07-21,0.24,0.24,0.2,0.22,39829,-0.02,0.04,-11.11,18.1,0.02,0.21,0.23,0.0,-0.01,0.01,14430161,3.66,1.67,80.0,-1.0,-78.33,Strong Sell Signal,0.26,0.21,0.16,0.47,41.43,Target Volume,Expected Range,5.3,Absent or Weak Trend
2023-07-20,0.21,0.23,0.21,0.23,33252,0.02,0.02,9.44,10.56,0.01,0.21,0.23,0.0,-0.01,0.01,14469990,3.13,3.33,81.67,-1.0,-78.33,Strong Sell Signal,0.26,0.21,0.16,0.48,41.8,Target Volume,Expected Range,5.33,Absent or Weak Trend
