Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-18,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-17,0.25,0.25,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,-1
2023-08-16,0.25,0.25,0.25,0.25,220500,0.0,0.0,0.0,0.0,0.0,-1
2023-08-15,0.24,0.27,0.23,0.25,4788,0.01,0.04,4.68,17.38,0.02,-1
2023-08-14,0.23,0.28,0.23,0.28,2632,0.04,0.04,16.33,16.33,0.02,-1
2023-08-11,0.28,0.28,0.28,0.28,1,0.0,0.0,0.0,0.0,0.0,-1
2023-08-10,0.26,0.28,0.26,0.28,20400,0.01,0.02,5.29,5.36,0.01,-1
2023-08-09,0.25,0.28,0.25,0.28,1760,0.02,0.02,9.05,9.05,0.01,-1
2023-08-08,0.26,0.3,0.26,0.3,21368,0.04,0.04,13.33,13.33,0.02,-1
2023-08-07,0.3,0.3,0.27,0.3,23317,0.0,0.03,0.07,9.61,0.01,1
2023-08-04,0.28,0.29,0.27,0.27,13117,-0.01,0.02,-2.68,6.31,0.01,-1
2023-08-03,0.27,0.29,0.25,0.27,9462,0.0,0.04,0.0,14.78,0.02,-1
2023-08-02,0.28,0.28,0.27,0.27,2600,-0.0,0.0,-0.99,1.8,0.0,-1
2023-08-01,0.28,0.28,0.28,0.28,9,0.0,0.0,0.0,0.0,0.0,-1
2023-07-31,0.25,0.28,0.25,0.28,10770,0.02,0.03,8.98,9.88,0.01,1
2023-07-28,0.27,0.27,0.26,0.26,8292,-0.0,0.01,-1.83,2.86,0.0,1
2023-07-27,0.23,0.25,0.23,0.25,9207,0.02,0.02,7.08,8.0,0.01,-1
2023-07-26,0.24,0.28,0.24,0.28,49538,0.04,0.04,13.89,13.93,0.02,1
2023-07-25,0.21,0.24,0.2,0.24,27600,0.03,0.04,12.29,17.0,0.02,-1
2023-07-24,0.25,0.25,0.23,0.24,5370,-0.0,0.02,-0.86,8.53,0.01,-1
2023-07-21,0.23,0.24,0.22,0.24,8204,0.01,0.02,4.17,6.43,0.01,1
2023-07-20,0.23,0.23,0.2,0.2,800,-0.03,0.03,-13.7,13.7,0.01,-1
2023-07-19,0.2,0.2,0.2,0.2,700,0.0,0.0,0.0,0.0,0.0,1
