Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-14,0.43,0.7,0.41,0.58,3354731,0.15,0.29,26.12,49.81,0.14,0.76,0.88,-0.02,-0.04,0.02,15713086,4.29,0.0,100.0,-1.0,-100.0,Strong Sell Signal,1.01,0.76,0.51,0.65,42.73,Target Volume,Expected Range,6.29,Absent or Weak Trend
2023-07-13,0.71,0.88,0.68,0.77,1830885,0.06,0.2,7.7,25.99,0.1,0.77,0.89,-0.01,-0.05,0.03,19067817,0.03,1.67,73.33,-1.0,-71.67,Strong Sell Signal,1.01,0.77,0.52,0.64,43.99,Target Volume,Expected Range,6.32,Absent or Weak Trend
2023-07-12,0.73,0.74,0.7,0.73,118660,0.0,0.04,0.29,5.38,0.02,0.77,0.89,-0.03,-0.05,0.03,17236932,2.36,3.33,75.0,-1.0,-71.67,Strong Sell Signal,1.02,0.77,0.52,0.65,43.66,Target Volume,Expected Range,6.43,Absent or Weak Trend
2023-07-11,0.65,0.75,0.65,0.7,427331,0.05,0.1,7.58,14.7,0.05,0.77,0.9,-0.04,-0.06,0.02,17118272,2.36,5.0,76.67,-1.0,-71.67,Strong Sell Signal,1.02,0.77,0.52,0.65,43.39,Target Volume,Expected Range,6.5,Absent or Weak Trend
2023-07-10,0.61,0.7,0.61,0.67,243354,0.06,0.09,8.63,13.11,0.04,0.77,0.9,-0.05,-0.07,0.02,16690941,3.23,6.67,78.33,-1.0,-71.67,Strong Sell Signal,1.02,0.77,0.52,0.65,43.11,Target Volume,Expected Range,6.57,Absent or Weak Trend
2023-07-07,0.56,0.66,0.56,0.63,357519,0.07,0.1,11.83,16.05,0.05,0.78,0.91,-0.06,-0.07,0.01,16447587,3.9,8.33,80.0,-1.0,-71.67,Strong Sell Signal,1.03,0.78,0.53,0.64,42.78,Target Volume,Expected Range,6.63,Absent or Weak Trend
2023-07-06,0.58,0.6,0.57,0.58,31079,0.0,0.03,0.84,5.12,0.01,0.78,0.92,-0.07,-0.07,0.01,16090068,4.84,10.0,81.67,-1.0,-71.67,Strong Sell Signal,1.03,0.78,0.53,0.64,42.36,Target Volume,Expected Range,6.67,Absent or Weak Trend
2023-07-05,0.59,0.6,0.59,0.59,136436,-0.0,0.01,-0.08,1.39,0.0,0.79,0.93,-0.07,-0.08,0.0,16121147,4.53,11.67,83.33,-1.0,-71.67,Strong Sell Signal,1.03,0.79,0.54,0.62,42.43,Target Volume,Expected Range,6.7,Absent or Weak Trend
2023-07-03,0.52,0.62,0.5,0.61,345667,0.09,0.12,14.71,19.58,0.06,0.79,0.94,-0.08,-0.08,-0.0,16257583,4.53,13.33,85.0,-1.0,-71.67,Strong Sell Signal,1.03,0.79,0.55,0.6,42.54,Target Volume,Expected Range,6.74,Absent or Weak Trend
2023-06-30,0.56,0.56,0.5,0.53,156104,-0.03,0.06,-6.65,12.34,0.03,0.79,0.95,-0.08,-0.08,-0.01,15911916,5.41,15.0,86.67,-1.0,-71.67,Strong Sell Signal,1.03,0.79,0.56,0.59,41.84,Target Volume,Expected Range,6.78,Absent or Weak Trend
