Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-30,3.08,3.14,3.08,3.14,2216,0.06,0.06,2.07,2.07,0.03,3.23,3.18,-0.02,-0.01,-0.01,-139023,2.38,31.67,13.33,1.0,18.33,High Volatility / Hold Signal,3.47,3.23,2.98,0.15,50.11,Target Volume,Expected Range,10.62,Absent or Weak Trend
2023-08-29,3.26,3.26,3.01,3.18,4732,-0.08,0.25,-2.52,7.86,0.12,3.23,3.18,-0.02,-0.01,-0.01,-136807,2.38,33.33,15.0,1.0,18.33,High Volatility / Hold Signal,3.47,3.23,2.98,0.15,50.41,Target Volume,Expected Range,10.76,Absent or Weak Trend
2023-08-28,3.25,3.25,3.01,3.02,19322,-0.23,0.24,-7.62,7.95,0.12,3.22,3.18,-0.02,-0.01,-0.01,-141539,2.55,35.0,16.67,1.0,18.33,High Volatility / Hold Signal,3.48,3.22,2.97,0.16,49.19,Target Volume,Expected Range,10.91,Absent or Weak Trend
2023-08-25,3.25,3.25,3.02,3.16,1027,-0.09,0.23,-2.85,7.28,0.12,3.23,3.19,-0.01,-0.01,0.0,-122217,2.39,36.67,18.33,1.0,18.33,High Volatility / Hold Signal,3.47,3.23,2.98,0.15,50.26,Target Volume,Expected Range,11.05,Absent or Weak Trend
2023-08-24,3.25,3.25,3.25,3.25,173,0.0,0.0,0.0,0.0,0.0,3.23,3.19,-0.0,-0.01,0.01,-121190,1.42,38.33,20.0,1.0,18.33,High Volatility / Hold Signal,3.48,3.23,2.98,0.15,50.96,Target Volume,Expected Range,11.19,Absent or Weak Trend
2023-08-23,3.2,3.28,3.1,3.25,11612,0.05,0.18,1.54,5.58,0.09,3.23,3.19,-0.01,-0.01,0.0,-121190,1.42,0.0,21.67,-1.0,-21.67,Weak Sell Signal,3.48,3.23,2.98,0.15,50.96,Target Volume,Expected Range,11.36,Absent or Weak Trend
2023-08-22,3.1,3.21,3.0,3.21,3500,0.1,0.21,3.27,6.43,0.1,3.24,3.19,-0.01,-0.01,-0.0,-132802,0.25,1.67,23.33,-1.0,-21.67,Weak Sell Signal,3.51,3.24,2.97,0.17,50.66,Target Volume,Expected Range,11.53,Absent or Weak Trend
2023-08-21,3.11,3.18,3.05,3.1,2942,-0.01,0.13,-0.32,4.19,0.07,3.25,3.19,-0.01,-0.01,-0.0,-136302,1.02,3.33,25.0,-1.0,-21.67,Weak Sell Signal,3.54,3.25,2.95,0.18,49.85,Target Volume,Expected Range,11.72,Absent or Weak Trend
2023-08-18,3.15,3.28,3.04,3.23,18286,0.08,0.24,2.48,7.43,0.12,3.25,3.19,-0.0,-0.01,0.0,-133360,1.02,5.0,26.67,-1.0,-21.67,Weak Sell Signal,3.56,3.25,2.95,0.19,50.82,Target Volume,Expected Range,11.9,Absent or Weak Trend
2023-08-17,3.26,3.26,3.26,3.26,233,0.0,0.0,0.0,0.0,0.0,3.26,3.19,-0.01,-0.01,0.0,-115074,4.68,6.67,28.33,-1.0,-21.67,Weak Sell Signal,3.57,3.26,2.95,0.19,51.05,Target Volume,Expected Range,12.08,Absent or Weak Trend
2023-08-16,3.38,3.49,3.18,3.2,1283,-0.18,0.31,-5.62,9.69,0.16,3.26,3.18,-0.01,-0.01,-0.0,-115307,4.68,8.33,0.0,1.0,8.33,High Volatility / Hold Signal,3.58,3.26,2.95,0.19,50.62,Target Volume,Expected Range,12.21,Absent or Weak Trend
2023-08-15,3.2,3.26,3.13,3.26,8672,0.06,0.13,1.92,4.06,0.07,3.26,3.18,-0.01,-0.01,-0.0,-114024,1.09,10.0,1.67,1.0,8.33,High Volatility / Hold Signal,3.58,3.26,2.94,0.2,51.08,Target Volume,Expected Range,12.34,Absent or Weak Trend
2023-08-14,3.46,3.46,3.15,3.15,3079,-0.31,0.31,-9.68,9.83,0.16,3.25,3.18,-0.02,-0.01,-0.01,-122696,1.42,11.67,3.33,1.0,8.33,High Volatility / Hold Signal,3.59,3.25,2.92,0.2,50.31,Target Volume,Expected Range,12.53,Absent or Weak Trend
2023-08-11,3.38,3.38,3.15,3.22,1940,-0.16,0.23,-4.97,7.14,0.12,3.25,3.18,-0.02,-0.01,-0.01,-119617,0.14,13.33,5.0,1.0,8.33,High Volatility / Hold Signal,3.59,3.25,2.91,0.21,50.78,Target Volume,Expected Range,12.72,Absent or Weak Trend
2023-08-10,3.16,3.16,3.13,3.14,1347,-0.02,0.04,-0.8,1.11,0.02,3.24,3.18,-0.02,-0.0,-0.02,-121557,3.41,15.0,6.67,1.0,8.33,High Volatility / Hold Signal,3.6,3.24,2.89,0.22,50.22,Target Volume,Expected Range,12.93,Absent or Weak Trend
2023-08-09,3.3,3.3,3.06,3.06,25988,-0.24,0.24,-7.84,7.84,0.12,3.24,3.18,-0.02,0.0,-0.02,-122904,3.41,16.67,0.0,1.0,16.67,High Volatility / Hold Signal,3.62,3.24,2.86,0.23,49.65,Target Volume,Expected Range,13.09,Absent or Weak Trend
2023-08-08,3.14,3.31,3.14,3.14,2331,-0.0,0.17,-0.05,5.41,0.08,3.24,3.19,-0.0,0.01,-0.01,-96916,2.16,18.33,1.67,1.0,16.67,High Volatility / Hold Signal,3.62,3.24,2.85,0.24,50.21,Target Volume,Expected Range,13.26,Absent or Weak Trend
2023-08-07,3.28,3.34,3.15,3.2,25389,-0.08,0.2,-2.41,6.09,0.1,3.23,3.19,0.0,0.01,-0.0,-94585,2.0,20.0,0.0,1.0,20.0,Weak Buy Signal,3.63,3.23,2.84,0.24,50.64,Target Volume,Expected Range,13.44,Absent or Weak Trend
2023-08-04,3.36,3.5,3.25,3.25,5723,-0.11,0.25,-3.45,7.69,0.12,3.22,3.19,0.01,0.01,-0.0,-69196,0.44,21.67,0.0,1.0,21.67,Weak Buy Signal,3.65,3.22,2.79,0.27,50.99,Target Volume,Expected Range,13.64,Absent or Weak Trend
2023-08-03,3.31,3.32,3.23,3.28,36847,-0.03,0.09,-0.91,2.74,0.04,3.22,3.18,0.01,0.01,0.0,-63473,3.36,23.33,0.0,1.0,23.33,Weak Buy Signal,3.65,3.22,2.78,0.27,51.2,Target Volume,Expected Range,13.86,Absent or Weak Trend
2023-08-02,3.32,3.32,3.1,3.18,42356,-0.14,0.22,-4.25,6.77,0.11,3.21,3.18,0.01,0.01,-0.0,-100320,3.43,25.0,1.67,1.0,23.33,Weak Buy Signal,3.66,3.21,2.75,0.28,50.53,Target Volume,Expected Range,14.04,Absent or Weak Trend
2023-08-01,3.29,3.31,3.18,3.3,2586,0.01,0.12,0.15,3.79,0.06,3.2,3.18,0.02,0.01,0.01,-57964,2.14,26.67,3.33,1.0,23.33,Weak Buy Signal,3.67,3.2,2.73,0.3,51.37,Target Volume,Expected Range,14.22,Absent or Weak Trend
2023-07-31,3.32,3.59,3.14,3.23,26734,-0.09,0.45,-2.79,13.93,0.22,3.19,3.18,0.02,0.01,0.01,-60550,2.14,28.33,5.0,1.0,23.33,Weak Buy Signal,3.67,3.19,2.71,0.3,50.9,Target Volume,Expected Range,14.42,Absent or Weak Trend
2023-07-28,3.15,3.47,3.15,3.38,27466,0.23,0.32,6.8,9.47,0.16,3.19,3.18,0.02,0.01,0.02,-33816,4.05,30.0,6.67,1.0,23.33,Weak Buy Signal,3.67,3.19,2.7,0.3,51.95,Target Volume,Expected Range,14.63,Absent or Weak Trend
2023-07-27,3.4,3.4,3.37,3.37,1222,-0.03,0.03,-0.89,0.89,0.01,3.18,3.17,0.01,0.0,0.01,-61282,0.7,31.67,8.33,1.0,23.33,Weak Buy Signal,3.67,3.18,2.69,0.31,51.88,Target Volume,Expected Range,14.81,Absent or Weak Trend
2023-07-26,3.3,3.49,3.23,3.28,29974,-0.02,0.26,-0.61,7.93,0.13,3.17,3.16,0.0,0.0,0.0,-62504,0.7,33.33,10.0,1.0,23.33,Weak Buy Signal,3.66,3.17,2.67,0.31,51.3,Target Volume,Expected Range,15.05,Absent or Weak Trend
2023-07-25,3.19,3.3,3.12,3.3,31666,0.11,0.18,3.33,5.45,0.09,3.16,3.16,-0.0,0.0,-0.0,-32530,3.72,35.0,0.0,1.0,35.0,Weak Buy Signal,3.66,3.16,2.66,0.32,51.44,Target Volume,Expected Range,15.29,Absent or Weak Trend
2023-07-24,3.32,3.32,3.15,3.15,775,-0.17,0.17,-5.4,5.4,0.08,3.15,3.15,-0.01,0.0,-0.01,-64196,3.27,36.67,0.0,1.0,36.67,Weak Buy Signal,3.67,3.15,2.63,0.33,50.47,Target Volume,Expected Range,15.49,Absent or Weak Trend
2023-07-21,3.37,3.37,3.1,3.32,6946,-0.05,0.27,-1.51,8.13,0.14,3.14,3.15,-0.01,0.01,-0.01,-63421,3.27,38.33,1.67,1.0,36.67,Weak Buy Signal,3.69,3.14,2.59,0.35,51.61,Target Volume,Expected Range,15.7,Absent or Weak Trend
2023-07-20,3.14,3.19,3.1,3.1,4172,-0.04,0.09,-1.45,2.79,0.04,3.12,3.15,-0.02,0.01,-0.03,-70367,6.21,40.0,0.0,1.0,40.0,Weak Buy Signal,3.69,3.12,2.55,0.37,50.18,Target Volume,Expected Range,15.91,Absent or Weak Trend
2023-07-19,3.18,3.18,3.15,3.15,508,-0.03,0.03,-0.95,0.95,0.02,3.11,3.15,-0.01,0.02,-0.03,-66195,5.49,41.67,1.67,1.0,40.0,Weak Buy Signal,3.71,3.11,2.51,0.39,50.51,Target Volume,Expected Range,16.07,Absent or Weak Trend
2023-07-18,3.08,3.2,3.08,3.14,16432,0.06,0.12,1.84,3.82,0.06,3.1,3.15,-0.01,0.02,-0.03,-66703,5.49,43.33,3.33,1.0,40.0,Weak Buy Signal,3.72,3.1,2.49,0.4,50.45,Target Volume,Expected Range,16.25,Absent or Weak Trend
2023-07-17,3.14,3.15,3.05,3.14,1847,0.0,0.1,0.0,3.18,0.05,3.1,3.15,0.0,0.03,-0.03,-66703,6.28,45.0,5.0,1.0,40.0,Weak Buy Signal,3.72,3.1,2.48,0.4,50.45,Target Volume,Expected Range,16.43,Absent or Weak Trend
2023-07-14,3.11,3.15,3.0,3.15,12912,0.04,0.15,1.26,4.76,0.07,3.1,3.15,0.01,0.04,-0.03,-64856,6.28,46.67,6.67,1.0,40.0,Weak Buy Signal,3.71,3.1,2.48,0.4,50.51,Target Volume,Expected Range,16.61,Absent or Weak Trend
2023-07-13,3.15,3.15,3.13,3.14,987,-0.01,0.02,-0.32,0.72,0.01,3.09,3.15,0.02,0.04,-0.02,-77768,4.52,48.33,8.33,1.0,40.0,Weak Buy Signal,3.71,3.09,2.47,0.4,50.45,Target Volume,Expected Range,16.78,Absent or Weak Trend
2023-07-12,3.18,3.26,3.14,3.26,3984,0.07,0.12,2.3,3.83,0.06,3.09,3.15,0.04,0.05,-0.01,-76781,4.41,50.0,10.0,1.0,40.0,Weak Buy Signal,3.71,3.09,2.47,0.4,51.21,Target Volume,Expected Range,16.99,Absent or Weak Trend
