Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-11,2.5,2.57,2.41,2.51,2335971,0.01,0.16,0.4,6.37,0.08,1.3,1.49,0.29,0.24,0.05,194247308,38.13,98.33,13.33,1.0,85.0,Strong Buy Signal,2.39,1.3,0.22,1.67,68.96,Trending Low,Bearish Trend,17.26,Absent or Weak Trend
2023-08-10,2.7,2.72,2.44,2.56,4000686,-0.14,0.28,-5.47,10.94,0.14,1.27,1.45,0.28,0.22,0.05,196583279,39.41,100.0,15.0,1.0,85.0,Strong Buy Signal,2.33,1.27,0.22,1.65,69.98,Trending Low,Bearish Trend,16.9,Absent or Weak Trend
2023-08-09,2.22,2.57,2.07,2.56,14270912,0.34,0.5,13.28,19.53,0.25,1.24,1.42,0.25,0.21,0.04,196583279,36.51,100.0,16.67,1.0,83.33,Strong Buy Signal,2.25,1.24,0.24,1.62,69.98,Trending Low,Bearish Trend,16.52,Absent or Weak Trend
2023-08-08,2.15,2.16,2.1,2.12,1406633,-0.03,0.06,-1.42,2.83,0.03,1.21,1.38,0.22,0.2,0.02,182312367,27.17,96.67,18.33,1.0,78.33,Strong Buy Signal,2.17,1.21,0.26,1.57,65.67,Trending Low,Bearish Trend,16.18,Absent or Weak Trend
2023-08-07,2.11,2.16,2.0,2.14,1664804,0.03,0.16,1.4,7.48,0.08,1.19,1.35,0.22,0.2,0.02,183719000,27.17,98.33,20.0,1.0,78.33,Strong Buy Signal,2.12,1.19,0.26,1.56,66.09,Trending Low,Bearish Trend,16.0,Absent or Weak Trend
2023-08-04,2.02,2.19,2.0,2.09,2551158,0.07,0.19,3.35,9.09,0.09,1.17,1.33,0.21,0.19,0.01,182054196,27.17,100.0,21.67,1.0,78.33,Strong Buy Signal,2.07,1.17,0.27,1.55,65.55,Trending Low,Bearish Trend,15.81,Absent or Weak Trend
2023-08-03,1.92,2.06,1.75,2.04,2899391,0.12,0.31,6.13,15.2,0.16,1.15,1.3,0.2,0.19,0.01,179503038,23.79,100.0,23.33,1.0,76.67,Strong Buy Signal,2.02,1.15,0.27,1.53,64.99,Trending Low,Bearish Trend,15.61,Absent or Weak Trend
2023-08-02,1.96,2.03,1.9,1.94,1190925,-0.02,0.13,-1.03,6.55,0.06,1.12,1.28,0.19,0.19,0.0,176603647,30.82,98.33,25.0,1.0,73.33,Strong Buy Signal,1.97,1.12,0.27,1.51,63.85,Trending Low,Bearish Trend,15.48,Absent or Weak Trend
2023-08-01,1.98,2.04,1.85,1.96,2307136,-0.02,0.19,-1.02,9.69,0.09,1.1,1.25,0.19,0.19,0.0,177794572,30.82,100.0,26.67,1.0,73.33,Strong Buy Signal,1.93,1.1,0.28,1.5,64.26,Trending Low,Bearish Trend,15.22,Absent or Weak Trend
2023-07-31,1.74,1.9,1.43,1.9,4879653,0.16,0.47,8.42,24.73,0.23,1.09,1.23,0.18,0.19,-0.01,175487436,27.16,100.0,28.33,1.0,71.67,Strong Buy Signal,1.89,1.09,0.28,1.48,63.56,Trending Low,Bearish Trend,14.95,Absent or Weak Trend
2023-07-28,1.56,1.68,1.54,1.62,696333,0.06,0.14,3.7,8.64,0.07,1.07,1.21,0.17,0.19,-0.01,170607783,20.67,95.0,30.0,1.0,65.0,Weak Buy Signal,1.84,1.07,0.29,1.46,59.99,Target Volume,Expected Range,14.74,Absent or Weak Trend
2023-07-27,1.83,1.84,1.62,1.65,520452,-0.18,0.22,-10.91,13.33,0.11,1.05,1.19,0.19,0.19,-0.0,171304116,24.64,96.67,31.67,1.0,65.0,Weak Buy Signal,1.82,1.05,0.29,1.45,60.62,Trending Low,Bearish Trend,14.64,Absent or Weak Trend
2023-07-26,1.75,1.85,1.75,1.83,390504,0.08,0.1,4.37,5.46,0.05,1.04,1.18,0.2,0.19,0.01,171824568,31.55,98.33,33.33,1.0,65.0,Weak Buy Signal,1.79,1.04,0.29,1.44,64.6,Trending Low,Bearish Trend,14.48,Absent or Weak Trend
2023-07-25,1.7,1.88,1.68,1.82,2036067,0.12,0.2,6.59,10.99,0.1,1.02,1.16,0.2,0.19,0.02,171434064,31.55,100.0,35.0,1.0,65.0,Weak Buy Signal,1.75,1.02,0.3,1.41,64.47,Trending Low,Bearish Trend,14.19,Absent or Weak Trend
