Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,104.37,105.0,101.79,101.9,23513,-2.47,3.21,-2.42,3.15,1.6,-1
2023-07-27,105.44,105.7,102.37,103.95,30875,-1.49,3.33,-1.43,3.2,1.66,-1
2023-07-26,105.11,107.71,104.74,105.43,15492,0.32,2.97,0.3,2.82,1.48,1
2023-07-25,104.86,107.17,104.81,105.12,22261,0.26,2.36,0.25,2.25,1.18,-1
2023-07-24,104.18,105.74,104.1,105.43,18731,1.25,1.64,1.19,1.55,0.82,1
2023-07-21,105.52,105.52,103.67,103.67,20479,-1.85,1.85,-1.78,1.78,0.92,-1
2023-07-20,104.11,105.25,104.01,105.01,31338,0.9,1.24,0.86,1.18,0.62,1
2023-07-19,104.77,105.06,103.5,104.7,19894,-0.07,1.56,-0.07,1.49,0.78,1
2023-07-18,103.43,105.62,103.37,104.5,17773,1.07,2.25,1.02,2.15,1.12,1
2023-07-17,102.99,104.56,102.78,104.03,16164,1.04,1.78,1.0,1.71,0.89,1
2023-07-14,100.36,102.2,99.85,101.86,14222,1.5,2.35,1.47,2.31,1.18,1
2023-07-13,100.06,102.16,99.56,100.93,30489,0.87,2.6,0.86,2.58,1.3,-1
2023-07-12,102.14,102.68,101.08,101.08,21226,-1.06,1.6,-1.05,1.58,0.8,1
2023-07-11,100.31,101.26,100.02,100.84,24961,0.53,1.24,0.53,1.23,0.62,1
2023-07-10,98.82,100.63,98.82,99.8,24794,0.98,1.81,0.98,1.81,0.91,1
2023-07-07,98.85,100.45,98.85,99.54,17489,0.69,1.6,0.69,1.61,0.8,1
2023-07-06,99.76,100.17,98.55,99.12,21516,-0.64,1.62,-0.65,1.63,0.81,-1
2023-07-05,102.3,102.71,100.84,100.85,26189,-1.45,1.87,-1.44,1.85,0.93,-1
2023-07-03,101.43,102.4,101.04,102.27,15837,0.84,1.36,0.82,1.33,0.68,1
2023-06-30,103.74,103.74,101.78,102.0,68967,-1.74,1.96,-1.71,1.92,0.98,-1
2023-06-29,102.11,104.09,101.7,102.91,30587,0.8,2.4,0.78,2.33,1.2,1
2023-06-28,100.76,102.2,99.43,102.2,44698,1.44,2.77,1.41,2.71,1.38,1
2023-06-27,100.71,102.34,100.53,101.06,22678,0.35,1.81,0.35,1.79,0.91,-1
2023-06-26,99.59,102.55,99.59,101.17,34804,1.58,2.96,1.56,2.93,1.48,1
2023-06-23,102.18,103.08,98.4,99.28,75988,-2.9,4.68,-2.92,4.71,2.34,-1
2023-06-22,102.17,103.74,101.87,103.47,35156,1.3,1.87,1.26,1.81,0.93,1
2023-06-21,100.36,103.23,100.08,103.0,34197,2.64,3.15,2.56,3.06,1.58,1
2023-06-20,99.77,101.6,99.62,101.04,32817,1.27,1.98,1.26,1.96,0.99,1
2023-06-16,102.38,102.38,100.1,100.69,68157,-1.69,2.28,-1.68,2.26,1.14,-1
2023-06-15,99.24,101.48,98.48,101.48,31591,2.24,3.0,2.21,2.96,1.5,1
2023-06-14,100.42,100.54,98.81,99.29,32503,-1.13,1.72,-1.14,1.74,0.86,-1
2023-06-13,98.55,99.81,98.55,99.69,26818,1.14,1.26,1.14,1.26,0.63,1
2023-06-12,99.3,99.9,98.7,99.31,22435,0.01,1.2,0.01,1.21,0.6,1
2023-06-09,100.84,100.84,98.58,99.11,19539,-1.73,2.26,-1.75,2.28,1.13,-1
2023-06-08,99.99,100.96,98.76,100.47,24517,0.48,2.2,0.48,2.19,1.1,1
2023-06-07,97.45,101.05,97.45,99.88,29592,2.43,3.6,2.43,3.6,1.8,1
2023-06-06,95.8,98.35,95.72,96.86,33516,1.06,2.63,1.09,2.72,1.31,1
2023-06-05,96.12,96.38,94.18,95.53,21079,-0.59,2.2,-0.62,2.3,1.1,-1
2023-06-02,92.79,96.73,92.0,96.6,33632,3.81,4.73,3.94,4.9,2.37,1
2023-06-01,92.71,94.27,91.36,91.92,31753,-0.79,2.91,-0.86,3.17,1.45,-1
2023-05-31,94.19,94.25,91.29,92.67,36406,-1.52,2.96,-1.64,3.19,1.48,-1
2023-05-30,94.56,94.56,93.7,93.99,28823,-0.57,0.86,-0.61,0.91,0.43,-1
2023-05-26,94.13,95.31,94.13,94.7,32274,0.57,1.18,0.6,1.25,0.59,-1
2023-05-25,96.04,96.32,94.22,95.27,26132,-0.77,2.1,-0.81,2.2,1.05,-1
2023-05-24,97.22,97.22,94.19,96.18,18730,-1.04,3.03,-1.08,3.15,1.52,-1
2023-05-23,97.8,98.99,96.84,97.16,44531,-0.64,2.15,-0.66,2.21,1.07,-1
2023-05-22,97.51,99.29,96.36,98.32,23389,0.81,2.93,0.82,2.98,1.47,1
2023-05-19,98.84,98.92,96.9,97.51,24947,-1.33,2.02,-1.36,2.07,1.01,-1
2023-05-18,97.56,98.1,96.68,97.66,19421,0.1,1.42,0.11,1.45,0.71,-1
2023-05-17,96.56,98.4,96.24,98.07,21499,1.51,2.16,1.54,2.2,1.08,1
2023-05-16,98.38,98.38,95.8,95.8,28318,-2.58,2.58,-2.69,2.69,1.29,-1
2023-05-15,98.31,100.76,97.44,98.77,59499,0.46,3.32,0.47,3.36,1.66,1
2023-05-12,97.23,98.62,96.25,98.28,66128,1.05,2.37,1.07,2.42,1.19,1
2023-05-11,96.25,97.72,95.77,97.23,63421,0.98,1.95,1.01,2.0,0.97,1
2023-05-10,95.35,97.15,94.15,97.06,52496,1.71,3.0,1.76,3.09,1.5,1
2023-05-09,93.87,94.98,92.64,94.14,44990,0.27,2.34,0.29,2.49,1.17,1
2023-05-08,96.29,96.29,93.87,93.87,37797,-2.42,2.42,-2.58,2.58,1.21,-1
2023-05-05,94.66,97.27,92.65,96.59,48823,1.93,4.62,2.0,4.78,2.31,1
2023-05-04,99.29,99.29,94.44,94.85,44118,-4.44,4.85,-4.68,5.11,2.42,-1
2023-05-03,104.23,105.6,103.49,103.72,31805,-0.51,2.11,-0.49,2.03,1.05,1
2023-05-02,105.1,105.1,102.32,103.49,27073,-1.61,2.77,-1.56,2.68,1.39,-1
2023-05-01,104.59,107.58,104.59,104.97,35443,0.38,2.99,0.36,2.85,1.49,-1
2023-04-28,104.82,105.47,103.98,105.14,30329,0.32,1.49,0.3,1.42,0.74,1
2023-04-27,103.03,104.21,102.45,104.09,21085,1.06,1.76,1.02,1.69,0.88,1
2023-04-26,102.03,104.16,101.64,102.93,37322,0.9,2.52,0.87,2.45,1.26,1
2023-04-25,104.58,104.87,102.6,102.88,33880,-1.7,2.27,-1.65,2.21,1.14,-1
2023-04-24,105.7,106.29,104.11,104.96,29108,-0.73,2.18,-0.7,2.08,1.09,-1
2023-04-21,105.56,106.34,104.5,105.57,38149,0.01,1.83,0.01,1.74,0.92,-1
2023-04-20,103.94,106.55,103.11,105.76,42223,1.83,3.44,1.73,3.25,1.72,1
2023-04-19,104.47,105.9,104.36,105.08,26904,0.61,1.54,0.58,1.47,0.77,-1
