Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-28,11.65,11.81,11.6,11.69,577323,0.04,0.21,0.34,1.8,0.11,1
2023-07-27,11.59,11.66,11.46,11.52,556573,-0.07,0.21,-0.61,1.82,0.1,-1
2023-07-26,11.33,11.53,11.29,11.52,519903,0.19,0.24,1.65,2.08,0.12,1
2023-07-25,11.13,11.34,11.07,11.34,532675,0.21,0.27,1.85,2.38,0.13,1
2023-07-24,11.19,11.3,10.98,11.16,536472,-0.03,0.32,-0.27,2.82,0.16,-1
2023-07-21,11.36,11.4,11.16,11.24,567438,-0.12,0.25,-1.07,2.18,0.12,-1
2023-07-20,11.3,11.49,11.23,11.25,474208,-0.05,0.26,-0.44,2.31,0.13,-1
2023-07-19,11.38,11.42,11.23,11.29,520521,-0.09,0.2,-0.8,1.73,0.1,-1
2023-07-18,11.02,11.47,10.81,11.29,839592,0.27,0.66,2.39,5.85,0.33,1
2023-07-17,11.5,11.64,11.1,11.11,736725,-0.39,0.54,-3.51,4.86,0.27,-1
2023-07-14,11.81,11.81,11.48,11.52,418619,-0.29,0.33,-2.52,2.86,0.17,-1
2023-07-13,11.55,12.17,11.5,11.83,771841,0.28,0.67,2.37,5.66,0.34,1
2023-07-12,11.79,11.88,11.42,11.56,1048539,-0.23,0.47,-1.99,4.02,0.23,-1
2023-07-11,11.65,11.73,11.5,11.59,415293,-0.06,0.24,-0.52,2.03,0.12,-1
2023-07-10,11.45,11.76,11.45,11.65,383433,0.2,0.31,1.72,2.66,0.16,1
2023-07-07,11.19,11.5,11.19,11.41,658922,0.22,0.3,1.93,2.67,0.15,1
2023-07-06,11.51,11.57,10.9,11.19,732836,-0.32,0.67,-2.86,5.99,0.34,-1
2023-07-05,12.39,12.4,11.56,11.58,582052,-0.81,0.84,-6.99,7.25,0.42,-1
2023-07-03,12.3,12.5,12.28,12.5,198912,0.2,0.22,1.6,1.76,0.11,1
2023-06-30,12.46,12.46,12.31,12.32,234746,-0.14,0.15,-1.14,1.22,0.08,-1
2023-06-29,12.24,12.44,12.16,12.39,264990,0.15,0.28,1.21,2.22,0.14,1
2023-06-28,12.14,12.26,12.02,12.22,247582,0.08,0.24,0.65,1.99,0.12,1
2023-06-27,11.93,12.28,11.84,12.18,313733,0.25,0.44,2.05,3.61,0.22,1
2023-06-26,11.7,11.91,11.68,11.86,466000,0.16,0.23,1.35,1.94,0.12,1
2023-06-23,11.87,12.14,11.69,11.78,687796,-0.09,0.45,-0.76,3.82,0.23,-1
2023-06-22,12.0,12.16,11.78,12.1,321580,0.1,0.38,0.83,3.14,0.19,1
2023-06-21,12.05,12.12,11.89,12.04,284733,-0.01,0.23,-0.08,1.95,0.12,-1
2023-06-20,11.92,12.09,11.78,12.06,473627,0.14,0.31,1.16,2.57,0.16,1
2023-06-16,12.39,12.41,11.87,11.9,723739,-0.49,0.54,-4.12,4.56,0.27,-1
2023-06-15,12.44,12.53,12.16,12.27,821276,-0.17,0.37,-1.39,3.02,0.18,1
2023-06-14,12.06,12.47,11.65,12.25,1195529,0.19,0.82,1.55,6.69,0.41,1
2023-06-13,11.95,12.17,11.84,12.03,324481,0.08,0.33,0.67,2.74,0.17,1
2023-06-12,11.57,11.98,11.53,11.97,307983,0.4,0.45,3.34,3.76,0.23,1
2023-06-09,11.7,11.7,11.5,11.53,248441,-0.17,0.2,-1.47,1.73,0.1,-1
2023-06-08,11.83,11.83,11.58,11.73,276595,-0.1,0.25,-0.85,2.13,0.12,-1
2023-06-07,11.75,12.07,11.64,11.83,480566,0.08,0.43,0.68,3.63,0.21,1
2023-06-06,11.65,11.8,11.6,11.64,449628,-0.01,0.2,-0.09,1.72,0.1,-1
2023-06-05,11.74,11.9,11.53,11.65,334512,-0.09,0.37,-0.77,3.17,0.18,-1
2023-06-02,11.51,11.86,11.44,11.82,492932,0.31,0.43,2.62,3.6,0.21,1
2023-06-01,11.09,11.34,11.0,11.33,320470,0.24,0.34,2.12,3.0,0.17,1
2023-05-31,11.16,11.25,10.86,11.07,464303,-0.09,0.39,-0.81,3.52,0.2,-1
2023-05-30,11.54,11.55,11.16,11.19,434451,-0.35,0.4,-3.13,3.53,0.2,-1
2023-05-26,11.39,11.62,11.39,11.49,294165,0.1,0.22,0.87,1.96,0.11,1
2023-05-25,11.47,11.48,11.34,11.41,271397,-0.06,0.14,-0.53,1.23,0.07,-1
2023-05-24,11.37,11.5,11.22,11.49,232951,0.12,0.29,1.04,2.48,0.14,1
2023-05-23,11.3,11.58,11.28,11.41,327108,0.11,0.3,0.96,2.63,0.15,1
2023-05-22,11.5,11.57,11.28,11.34,404479,-0.16,0.29,-1.41,2.56,0.15,-1
2023-05-19,11.67,11.72,11.4,11.5,367478,-0.17,0.32,-1.48,2.78,0.16,-1
2023-05-18,11.15,11.6,11.14,11.57,369863,0.42,0.46,3.63,3.98,0.23,1
2023-05-17,10.77,11.27,10.73,11.26,351728,0.49,0.54,4.35,4.79,0.27,1
2023-05-16,10.74,10.77,10.63,10.71,298758,-0.03,0.14,-0.28,1.31,0.07,-1
2023-05-15,10.66,10.86,10.66,10.77,263049,0.11,0.2,1.02,1.86,0.1,1
2023-05-12,10.6,10.7,10.54,10.66,302137,0.06,0.16,0.56,1.5,0.08,1
2023-05-11,10.5,10.61,10.38,10.58,372423,0.08,0.23,0.76,2.17,0.11,1
2023-05-10,10.87,10.87,10.44,10.52,269133,-0.35,0.43,-3.33,4.09,0.21,-1
2023-05-09,10.6,10.8,10.5,10.75,304482,0.15,0.3,1.4,2.84,0.15,1
2023-05-08,10.7,10.84,10.58,10.65,422670,-0.05,0.26,-0.47,2.39,0.13,-1
2023-05-05,10.86,10.98,10.6,10.7,468522,-0.16,0.38,-1.5,3.55,0.19,1
2023-05-04,10.52,10.82,10.47,10.69,519397,0.17,0.35,1.59,3.27,0.17,1
2023-05-03,11.12,11.22,10.38,10.56,746010,-0.56,0.83,-5.3,7.91,0.42,-1
2023-05-02,11.12,11.32,11.07,11.21,603575,0.09,0.25,0.8,2.27,0.13,1
2023-05-01,11.15,11.36,11.02,11.16,398143,0.01,0.34,0.09,3.05,0.17,-1
2023-04-28,10.82,11.25,10.82,11.21,410272,0.39,0.43,3.48,3.81,0.21,1
2023-04-27,10.69,10.82,10.6,10.74,343907,0.05,0.22,0.47,2.05,0.11,1
2023-04-26,10.68,10.84,10.63,10.64,391240,-0.04,0.21,-0.38,2.02,0.11,-1
2023-04-25,10.78,10.88,10.68,10.71,336124,-0.07,0.21,-0.65,1.91,0.1,-1
2023-04-24,11.07,11.12,10.71,10.93,344552,-0.14,0.41,-1.28,3.75,0.2,-1
2023-04-21,10.95,11.26,10.95,11.1,408463,0.15,0.31,1.35,2.79,0.16,1
2023-04-20,11.06,11.07,10.77,10.95,340510,-0.11,0.3,-1.0,2.74,0.15,-1
2023-04-19,11.15,11.26,11.11,11.17,279442,0.02,0.15,0.18,1.34,0.08,-1
2023-04-18,11.4,11.49,11.07,11.21,308240,-0.19,0.42,-1.69,3.75,0.21,-1
2023-04-17,11.36,11.46,11.16,11.32,269051,-0.04,0.29,-0.35,2.61,0.15,-1
2023-04-14,11.35,11.51,11.2,11.34,267626,-0.01,0.31,-0.09,2.78,0.16,-1
2023-04-13,11.2,11.45,11.13,11.37,356832,0.17,0.32,1.5,2.81,0.16,1
2023-04-12,11.5,11.56,11.06,11.1,365416,-0.4,0.5,-3.6,4.5,0.25,-1
