Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-21,14.66,14.87,14.39,14.8,580669,0.14,0.48,0.95,3.24,0.24,1
2023-07-20,14.35,14.64,14.26,14.6,854696,0.25,0.38,1.71,2.64,0.19,1
2023-07-19,14.66,14.87,14.27,14.45,722080,-0.21,0.6,-1.45,4.15,0.3,-1
2023-07-18,14.23,14.56,14.06,14.54,1006071,0.31,0.5,2.13,3.44,0.25,1
2023-07-17,13.64,14.15,13.55,14.14,617635,0.5,0.6,3.54,4.24,0.3,1
2023-07-14,13.83,13.86,13.48,13.6,711401,-0.23,0.38,-1.69,2.79,0.19,-1
2023-07-13,13.51,13.88,13.33,13.79,868167,0.28,0.55,2.03,3.99,0.28,1
2023-07-12,13.25,13.91,13.25,13.51,1047538,0.26,0.66,1.92,4.89,0.33,1
2023-07-11,12.3,13.27,12.19,13.05,1169686,0.75,1.08,5.75,8.28,0.54,1
2023-07-10,12.07,12.17,11.9,12.15,679998,0.08,0.27,0.66,2.22,0.13,1
2023-07-07,11.96,12.32,11.94,12.07,940042,0.11,0.38,0.91,3.15,0.19,1
2023-07-06,12.16,12.16,11.59,11.94,1107656,-0.22,0.57,-1.84,4.77,0.29,-1
2023-07-05,12.38,12.48,12.2,12.34,832035,-0.04,0.28,-0.32,2.27,0.14,-1
2023-07-03,12.09,12.4,12.08,12.38,252551,0.29,0.32,2.34,2.58,0.16,1
2023-06-30,12.15,12.27,12.01,12.2,470020,0.05,0.26,0.45,2.13,0.13,1
2023-06-29,12.28,12.3,12.0,12.07,595533,-0.21,0.3,-1.74,2.49,0.15,-1
2023-06-28,12.2,12.34,12.01,12.18,1211839,-0.02,0.33,-0.16,2.71,0.17,1
2023-06-27,12.14,12.2,12.01,12.11,951765,-0.03,0.19,-0.25,1.57,0.09,1
2023-06-26,12.18,12.33,11.99,12.01,808806,-0.17,0.34,-1.42,2.83,0.17,-1
2023-06-23,12.33,12.53,12.12,12.14,1554257,-0.19,0.4,-1.57,3.34,0.2,-1
2023-06-22,12.49,12.55,12.18,12.4,1195969,-0.09,0.38,-0.69,3.02,0.19,-1
2023-06-21,12.64,12.65,12.3,12.47,1537928,-0.17,0.35,-1.36,2.77,0.17,-1
