Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-04,18.59,18.83,17.75,18.03,399290,-0.56,1.08,-3.11,5.98,0.54,18.0,18.42,0.12,0.28,-0.16,17101361,8.6,90.0,3.33,1.0,86.67,Strong Buy Signal,20.1,18.0,15.9,0.23,49.9,Target Volume,Expected Range,8.47,Absent or Weak Trend
2023-08-03,19.11,19.2,18.5,18.59,170150,-0.52,0.7,-2.8,3.74,0.35,17.99,18.44,0.22,0.31,-0.09,17500651,4.95,91.67,5.0,1.0,86.67,Strong Buy Signal,20.1,17.99,15.89,0.23,51.44,Target Volume,Expected Range,8.47,Absent or Weak Trend
2023-08-02,19.47,19.54,19.01,19.17,141880,-0.3,0.52,-1.56,2.74,0.26,17.98,18.43,0.3,0.34,-0.04,17670801,2.34,93.33,6.67,1.0,86.67,Strong Buy Signal,20.08,17.98,15.88,0.23,53.11,Target Volume,Expected Range,8.53,Absent or Weak Trend
2023-08-01,19.32,19.66,19.24,19.6,473703,0.28,0.42,1.43,2.14,0.21,17.96,18.41,0.33,0.35,-0.02,17812681,1.13,95.0,8.33,1.0,86.67,Strong Buy Signal,20.04,17.96,15.88,0.23,54.4,Target Volume,Expected Range,8.63,Absent or Weak Trend
2023-07-31,19.27,19.43,19.07,19.37,235348,0.1,0.36,0.52,1.86,0.18,17.92,18.37,0.31,0.35,-0.04,17338978,2.38,96.67,10.0,1.0,86.67,Strong Buy Signal,19.96,17.92,15.89,0.23,53.81,Target Volume,Expected Range,8.76,Absent or Weak Trend
2023-07-28,19.42,19.57,19.23,19.27,159543,-0.15,0.34,-0.78,1.76,0.17,17.91,18.33,0.32,0.36,-0.04,17103630,1.55,98.33,11.67,1.0,86.67,Strong Buy Signal,19.92,17.91,15.9,0.22,53.55,Target Volume,Expected Range,8.87,Absent or Weak Trend
2023-07-27,19.34,19.78,19.19,19.27,223042,-0.07,0.59,-0.36,3.06,0.29,17.9,18.3,0.33,0.37,-0.04,17103630,1.55,100.0,13.33,1.0,86.67,Strong Buy Signal,19.89,17.9,15.92,0.22,53.55,Target Volume,Expected Range,8.99,Absent or Weak Trend
2023-07-26,18.98,19.31,18.98,19.3,201665,0.32,0.33,1.66,1.71,0.16,17.9,18.27,0.34,0.38,-0.04,17326672,4.05,95.0,15.0,1.0,80.0,Strong Buy Signal,19.87,17.9,15.92,0.22,53.64,Target Volume,Expected Range,9.12,Absent or Weak Trend
2023-07-25,18.94,19.18,18.9,18.96,225729,0.02,0.28,0.11,1.48,0.14,17.89,18.23,0.35,0.39,-0.04,17125007,4.76,96.67,16.67,1.0,80.0,Strong Buy Signal,19.85,17.89,15.93,0.22,52.79,Target Volume,Expected Range,9.2,Absent or Weak Trend
2023-07-24,19.3,19.44,18.98,19.0,194469,-0.3,0.46,-1.58,2.42,0.23,17.88,18.21,0.39,0.4,-0.02,17350736,4.34,98.33,18.33,1.0,80.0,Strong Buy Signal,19.83,17.88,15.94,0.22,52.9,Target Volume,Expected Range,9.28,Absent or Weak Trend
2023-07-21,19.64,19.65,19.31,19.33,159645,-0.31,0.34,-1.6,1.76,0.17,17.87,18.18,0.42,0.41,0.01,17545205,2.75,100.0,20.0,1.0,80.0,Strong Buy Signal,19.8,17.87,15.94,0.22,53.83,Target Volume,Expected Range,9.36,Absent or Weak Trend
2023-07-20,19.37,19.47,19.1,19.45,275111,0.08,0.37,0.41,1.9,0.18,17.86,18.14,0.43,0.41,0.02,17704850,3.69,98.33,21.67,1.0,76.67,Strong Buy Signal,19.76,17.86,15.96,0.21,54.17,Target Volume,Expected Range,9.47,Absent or Weak Trend
2023-07-19,19.3,19.57,19.07,19.43,329366,0.13,0.5,0.67,2.55,0.25,17.86,18.1,0.42,0.4,0.02,17429739,3.69,100.0,23.33,1.0,76.67,Strong Buy Signal,19.76,17.86,15.96,0.21,54.12,Target Volume,Expected Range,9.57,Absent or Weak Trend
2023-07-18,18.95,19.37,18.95,19.3,158563,0.35,0.42,1.81,2.18,0.21,17.85,18.05,0.41,0.39,0.01,17100373,4.69,0.0,25.0,-1.0,-25.0,Weak Sell Signal,19.73,17.85,15.98,0.21,53.82,Target Volume,Expected Range,9.67,Absent or Weak Trend
2023-07-17,18.64,19.18,18.54,19.03,119514,0.39,0.64,2.05,3.36,0.32,17.85,18.01,0.39,0.39,0.0,16941810,5.67,1.67,26.67,-1.0,-25.0,Weak Sell Signal,19.73,17.85,15.97,0.21,53.18,Target Volume,Expected Range,9.75,Absent or Weak Trend
2023-07-14,18.94,18.99,18.52,18.7,164583,-0.24,0.47,-1.28,2.51,0.23,17.85,17.98,0.4,0.39,0.01,16822296,6.66,3.33,28.33,-1.0,-25.0,Weak Sell Signal,19.74,17.85,15.97,0.21,52.39,Target Volume,Expected Range,9.82,Absent or Weak Trend
