Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-07,1.0,1.0,0.92,0.94,1094375,-0.06,0.07,-6.38,7.98,0.04,1
2023-08-04,0.91,1.01,0.86,0.87,1322724,-0.04,0.15,-4.6,16.84,0.07,-1
2023-08-03,0.9,0.98,0.85,0.93,1980709,0.03,0.13,3.14,13.87,0.06,1
2023-08-02,1.01,1.12,0.8,0.91,9580396,-0.1,0.32,-10.89,35.13,0.16,-1
2023-08-01,1.79,1.79,1.6,1.68,941569,-0.11,0.19,-6.55,11.31,0.09,-1
2023-07-31,1.7,1.8,1.67,1.74,540418,0.04,0.13,2.3,7.47,0.07,1
2023-07-28,1.61,1.71,1.61,1.64,615653,0.03,0.1,1.83,6.1,0.05,1
2023-07-27,1.64,1.81,1.61,1.61,702117,-0.03,0.2,-1.86,12.42,0.1,-1
2023-07-26,1.63,1.72,1.57,1.64,580336,0.01,0.15,0.61,9.09,0.07,1
2023-07-25,1.7,1.71,1.63,1.63,312512,-0.07,0.08,-4.29,4.91,0.04,-1
2023-07-24,1.85,1.86,1.64,1.72,1265102,-0.13,0.22,-7.56,12.78,0.11,-1
2023-07-21,1.8,1.89,1.79,1.86,462236,0.06,0.1,3.23,5.38,0.05,-1
2023-07-20,2.02,2.08,1.85,1.87,827667,-0.15,0.23,-8.02,12.3,0.12,-1
2023-07-19,2.21,2.22,1.98,2.0,1166036,-0.21,0.24,-10.5,12.0,0.12,-1
2023-07-18,2.39,2.39,2.12,2.18,1507944,-0.21,0.27,-9.63,12.39,0.14,-1
2023-07-17,1.94,2.3,1.86,2.23,1876780,0.29,0.44,13.0,19.73,0.22,1
2023-07-14,2.03,2.14,1.9,1.92,1811131,-0.11,0.24,-5.73,12.75,0.12,-1
2023-07-13,1.78,2.14,1.76,2.1,4011630,0.32,0.38,15.24,18.16,0.19,1
2023-07-12,1.48,1.73,1.44,1.71,2605477,0.23,0.28,13.45,16.67,0.14,1
2023-07-11,1.32,1.48,1.31,1.44,1182183,0.12,0.17,8.33,11.81,0.08,1
2023-07-10,1.26,1.36,1.25,1.32,694221,0.06,0.11,4.55,8.33,0.06,1
2023-07-07,1.31,1.4,1.24,1.25,894046,-0.06,0.16,-4.8,12.8,0.08,-1
2023-07-06,1.43,1.44,1.3,1.34,680266,-0.09,0.14,-6.72,10.45,0.07,-1
2023-07-05,1.4,1.45,1.26,1.44,973555,0.04,0.19,2.44,13.24,0.09,1
2023-07-03,1.4,1.55,1.35,1.4,1056983,0.0,0.2,0.0,14.29,0.1,1
2023-06-30,1.25,1.4,1.22,1.39,775368,0.14,0.18,10.07,12.95,0.09,1
2023-06-29,1.32,1.39,1.21,1.23,606875,-0.09,0.18,-7.32,14.55,0.09,-1
2023-06-28,1.27,1.37,1.23,1.32,686920,0.05,0.14,3.79,10.39,0.07,1
2023-06-27,1.23,1.34,1.18,1.27,881016,0.04,0.16,3.15,12.6,0.08,1
2023-06-26,1.32,1.39,1.23,1.23,785378,-0.09,0.16,-7.32,13.01,0.08,-1
2023-06-23,1.4,1.47,1.32,1.34,13407846,-0.06,0.15,-4.48,11.19,0.07,-1
2023-06-22,1.26,1.47,1.2,1.39,1897540,0.13,0.27,9.35,19.42,0.14,1
2023-06-21,1.04,1.23,1.03,1.21,1295188,0.17,0.2,14.05,16.53,0.1,1
2023-06-20,1.02,1.19,1.01,1.09,1560950,0.07,0.18,6.42,16.51,0.09,1
2023-06-16,1.07,1.1,1.03,1.04,1981333,-0.03,0.07,-2.88,6.73,0.04,-1
2023-06-15,1.15,1.16,1.03,1.08,1325361,-0.07,0.13,-6.48,12.04,0.06,-1
2023-06-14,1.12,1.15,1.05,1.15,808656,0.03,0.1,2.61,8.69,0.05,1
2023-06-13,1.19,1.25,1.07,1.12,720627,-0.07,0.18,-6.25,16.07,0.09,-1
2023-06-12,1.29,1.3,1.18,1.19,550703,-0.1,0.12,-8.4,10.08,0.06,-1
2023-06-09,1.23,1.29,1.08,1.29,889110,0.06,0.21,4.65,16.28,0.1,1
2023-06-08,1.36,1.37,1.2,1.21,1203837,-0.15,0.17,-12.4,14.05,0.09,-1
2023-06-07,1.3,1.38,1.25,1.33,795354,0.03,0.13,2.26,9.77,0.06,1
2023-06-06,1.26,1.41,1.25,1.31,1005525,0.05,0.16,3.82,12.21,0.08,-1
2023-06-05,1.21,1.47,1.16,1.33,1470456,0.12,0.31,9.02,23.31,0.16,1
2023-06-02,1.09,1.21,0.98,1.21,1262377,0.12,0.23,9.92,18.6,0.11,1
2023-06-01,0.96,1.07,0.89,1.03,1673633,0.07,0.18,6.8,17.46,0.09,1
2023-05-31,0.99,1.02,0.88,1.0,1105769,0.01,0.14,1.0,14.27,0.07,1
2023-05-30,0.9,1.01,0.87,0.96,1560571,0.07,0.14,6.85,14.55,0.07,1
2023-05-26,0.8,0.96,0.76,0.92,1180537,0.12,0.2,12.58,21.36,0.1,1
2023-05-25,0.94,0.94,0.85,0.85,357516,-0.09,0.09,-10.45,10.57,0.04,-1
2023-05-24,0.97,1.05,0.87,0.94,1157404,-0.03,0.18,-2.73,18.83,0.09,-1
2023-05-23,1.11,1.11,0.95,1.0,669232,-0.11,0.16,-11.0,16.0,0.08,-1
2023-05-22,1.03,1.03,0.92,1.02,891643,-0.01,0.1,-0.98,10.29,0.05,1
2023-05-19,1.01,1.06,0.97,1.0,755658,-0.01,0.09,-1.0,9.0,0.05,-1
2023-05-18,0.97,1.32,0.93,1.02,3635562,0.05,0.39,4.9,38.21,0.19,1
2023-05-17,0.95,0.99,0.81,0.93,924964,-0.02,0.18,-2.02,18.83,0.09,-1
2023-05-16,0.82,1.03,0.8,0.94,2006779,0.12,0.23,12.73,24.35,0.11,1
2023-05-15,0.77,0.78,0.73,0.78,97146,0.01,0.05,1.16,6.42,0.03,1
2023-05-12,0.73,0.78,0.72,0.76,160104,0.03,0.06,4.25,7.87,0.03,1
2023-05-11,0.74,0.76,0.73,0.74,158198,0.0,0.03,0.56,4.03,0.02,-1
2023-05-10,0.78,0.78,0.73,0.76,168071,-0.02,0.05,-2.92,6.57,0.02,-1
2023-05-09,0.77,0.78,0.73,0.77,127281,0.0,0.05,0.42,6.13,0.02,1
2023-05-08,0.74,0.77,0.73,0.76,261351,0.02,0.05,2.49,6.43,0.02,1
2023-05-05,0.77,0.77,0.73,0.75,145548,-0.02,0.04,-2.52,5.28,0.02,-1
2023-05-04,0.74,0.77,0.7,0.76,193510,0.02,0.07,2.55,8.77,0.03,1
2023-05-03,0.74,0.76,0.7,0.74,137114,0.0,0.06,0.54,7.62,0.03,-1
2023-05-02,0.75,0.76,0.71,0.75,230316,0.0,0.05,0.0,6.69,0.03,-1
2023-05-01,0.77,0.79,0.74,0.75,128364,-0.02,0.05,-2.18,6.5,0.02,-1
2023-04-28,0.73,0.8,0.73,0.79,175381,0.06,0.07,7.57,8.61,0.03,1
2023-04-27,0.74,0.75,0.7,0.75,185593,0.01,0.06,1.48,7.95,0.03,1
2023-04-26,0.74,0.76,0.7,0.73,239839,-0.01,0.06,-1.19,8.31,0.03,-1
2023-04-25,0.71,0.77,0.7,0.73,349478,0.02,0.07,2.81,9.0,0.03,1
2023-04-24,0.74,0.77,0.7,0.71,167513,-0.03,0.07,-3.78,9.88,0.04,-1
2023-04-21,0.7,0.79,0.7,0.75,259581,0.05,0.09,6.67,11.95,0.04,1
2023-04-20,0.7,0.72,0.66,0.69,149950,-0.01,0.06,-1.46,8.91,0.03,-1
2023-04-19,0.72,0.72,0.66,0.69,93032,-0.02,0.06,-3.12,8.61,0.03,-1
2023-04-18,0.7,0.72,0.65,0.7,129874,0.0,0.07,0.37,9.52,0.03,-1
2023-04-17,0.67,0.72,0.67,0.71,151398,0.04,0.05,6.12,7.1,0.03,1
2023-04-14,0.69,0.7,0.67,0.68,117170,-0.01,0.03,-1.47,4.41,0.01,-1
2023-04-13,0.65,0.7,0.63,0.68,467503,0.03,0.07,4.02,10.2,0.03,1
2023-04-12,0.61,0.67,0.6,0.65,224611,0.04,0.07,6.51,10.7,0.03,-1
2023-04-11,0.66,0.67,0.61,0.65,348876,-0.01,0.06,-1.95,9.61,0.03,1
2023-04-10,0.67,0.69,0.62,0.63,401989,-0.03,0.07,-5.29,11.04,0.03,-1
2023-04-06,0.68,0.68,0.66,0.66,84812,-0.02,0.02,-2.3,3.04,0.01,-1
2023-04-05,0.69,0.7,0.61,0.67,395283,-0.02,0.09,-2.97,13.15,0.04,-1
2023-04-04,0.67,0.73,0.67,0.69,197571,0.02,0.06,3.02,8.38,0.03,-1
2023-04-03,0.73,0.76,0.66,0.69,234770,-0.04,0.1,-5.61,14.29,0.05,-1
2023-03-31,0.76,0.79,0.73,0.76,312935,0.0,0.06,0.28,8.25,0.03,1
2023-03-30,0.76,0.77,0.71,0.75,193068,-0.01,0.06,-1.68,7.72,0.03,-1
2023-03-29,0.76,0.8,0.73,0.78,218771,0.02,0.07,2.4,8.5,0.03,1
2023-03-28,0.75,0.78,0.71,0.75,86150,-0.0,0.07,-0.21,9.27,0.03,-1
2023-03-27,0.77,0.8,0.69,0.75,252443,-0.02,0.11,-3.09,14.56,0.05,-1
2023-03-24,0.79,0.8,0.71,0.77,202703,-0.02,0.09,-2.72,11.96,0.05,-1
2023-03-23,0.78,0.81,0.76,0.8,215461,0.02,0.06,2.12,6.93,0.03,1
2023-03-22,0.74,0.83,0.74,0.79,395071,0.05,0.09,6.33,11.96,0.05,1
2023-03-21,0.72,0.77,0.7,0.76,233264,0.04,0.07,5.15,8.96,0.03,1
2023-03-20,0.65,0.72,0.63,0.7,288086,0.05,0.09,7.25,12.84,0.04,1
2023-03-17,0.62,0.7,0.62,0.66,688092,0.03,0.08,5.31,11.79,0.04,1
2023-03-16,0.63,0.65,0.59,0.65,280530,0.01,0.06,2.07,8.93,0.03,1
2023-03-15,0.59,0.66,0.57,0.64,296807,0.05,0.09,7.59,13.54,0.04,1
2023-03-14,0.61,0.63,0.59,0.59,339686,-0.02,0.04,-4.0,6.56,0.02,-1
2023-03-13,0.57,0.67,0.56,0.61,1025778,0.04,0.11,6.57,18.62,0.06,1
2023-03-10,0.7,0.76,0.49,0.51,1929669,-0.19,0.27,-37.11,52.71,0.13,-1
2023-03-09,0.76,0.77,0.71,0.71,229133,-0.05,0.06,-7.16,9.03,0.03,-1
2023-03-08,0.87,0.9,0.75,0.75,423952,-0.12,0.15,-15.61,19.8,0.07,-1
2023-03-07,0.85,0.89,0.83,0.87,187124,0.01,0.06,1.44,6.83,0.03,1
2023-03-06,0.81,0.89,0.8,0.85,263751,0.05,0.09,5.58,10.4,0.04,1
2023-03-03,0.73,0.85,0.72,0.82,366579,0.09,0.13,11.49,15.76,0.06,1
2023-03-02,0.73,0.76,0.73,0.75,199038,0.02,0.03,2.17,3.49,0.01,-1
2023-03-01,0.79,0.8,0.77,0.77,227615,-0.02,0.03,-2.8,4.09,0.02,-1
2023-02-28,0.75,0.8,0.72,0.79,294474,0.04,0.08,5.06,9.75,0.04,1
2023-02-27,0.71,0.78,0.71,0.75,295864,0.04,0.07,5.7,9.04,0.03,1
2023-02-24,0.76,0.77,0.7,0.71,286773,-0.05,0.07,-6.55,9.33,0.03,-1
2023-02-23,0.75,0.79,0.75,0.76,249204,0.01,0.04,1.76,5.24,0.02,-1
2023-02-22,0.75,0.81,0.75,0.76,289844,0.0,0.06,0.33,7.95,0.03,-1
2023-02-21,0.82,0.84,0.76,0.76,411244,-0.06,0.08,-7.86,10.48,0.04,-1
2023-02-17,0.98,0.98,0.84,0.85,281856,-0.13,0.14,-15.29,16.45,0.07,-1
