Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-31,0.5,0.53,0.49,0.53,4808400,0.02,0.04,4.15,7.02,0.02,1
2023-07-28,0.51,0.55,0.5,0.51,88840,-0.0,0.05,-0.87,9.87,0.02,1
2023-07-27,0.54,0.55,0.5,0.5,59740,-0.04,0.05,-6.93,9.19,0.02,-1
2023-07-26,0.51,0.53,0.51,0.53,70136,0.02,0.02,3.77,3.77,0.01,1
2023-07-25,0.5,0.53,0.49,0.52,97137,0.02,0.05,3.18,9.36,0.02,1
2023-07-24,0.49,0.51,0.49,0.49,26498,0.0,0.02,0.02,3.87,0.01,-1
2023-07-21,0.51,0.51,0.49,0.51,18880,0.0,0.02,0.25,3.86,0.01,-1
2023-07-20,0.5,0.51,0.48,0.51,42140,0.01,0.03,1.25,5.88,0.02,-1
2023-07-19,0.5,0.51,0.48,0.51,59669,0.01,0.03,1.96,5.86,0.01,1
2023-07-18,0.52,0.52,0.49,0.5,68999,-0.02,0.03,-4.52,6.23,0.02,-1
2023-07-17,0.53,0.53,0.5,0.51,24882,-0.02,0.03,-4.23,6.55,0.02,-1
2023-07-14,0.54,0.54,0.51,0.54,40160,-0.0,0.03,-0.56,5.23,0.01,-1
2023-07-13,0.53,0.56,0.52,0.54,33064,0.01,0.04,1.09,7.76,0.02,-1
2023-07-12,0.53,0.56,0.51,0.55,115150,0.02,0.05,2.94,9.16,0.02,-1
2023-07-11,0.51,0.7,0.5,0.56,588105,0.05,0.2,8.39,36.55,0.1,1
2023-07-10,0.5,0.51,0.46,0.51,23533,0.01,0.05,2.53,10.47,0.03,1
2023-07-07,0.48,0.51,0.47,0.49,40589,0.01,0.04,1.98,7.7,0.02,-1
2023-07-06,0.48,0.51,0.47,0.5,109962,0.02,0.04,3.32,8.6,0.02,1
2023-07-05,0.48,0.5,0.46,0.49,38551,0.01,0.04,1.33,8.35,0.02,-1
2023-07-03,0.49,0.5,0.48,0.5,37466,0.01,0.02,1.96,4.88,0.01,1
2023-06-30,0.48,0.5,0.46,0.49,86410,0.01,0.04,1.66,8.11,0.02,-1
2023-06-29,0.5,0.51,0.48,0.5,45239,0.0,0.03,0.42,6.95,0.02,1
2023-06-28,0.48,0.5,0.47,0.49,31934,0.01,0.03,1.06,6.37,0.02,1
2023-06-27,0.48,0.5,0.46,0.46,38583,-0.02,0.04,-3.68,8.41,0.02,-1
2023-06-26,0.5,0.51,0.45,0.46,153699,-0.03,0.06,-7.35,12.99,0.03,-1
2023-06-23,0.52,0.56,0.5,0.5,115888,-0.02,0.06,-4.36,12.11,0.03,-1
2023-06-22,0.54,0.56,0.53,0.54,48882,-0.01,0.03,-0.93,6.47,0.02,-1
2023-06-21,0.55,0.56,0.53,0.56,52721,0.01,0.03,2.11,5.37,0.02,-1
2023-06-20,0.59,0.64,0.53,0.56,526831,-0.03,0.11,-6.14,19.68,0.06,-1
2023-06-16,0.54,0.68,0.52,0.66,754582,0.12,0.16,17.57,24.12,0.08,1
2023-06-15,0.53,0.55,0.52,0.52,71071,-0.01,0.03,-1.01,6.54,0.02,-1
2023-06-14,0.55,0.57,0.51,0.53,177576,-0.02,0.06,-4.17,10.93,0.03,-1
2023-06-13,0.55,0.56,0.53,0.54,53231,-0.01,0.03,-2.42,6.09,0.02,-1
2023-06-12,0.53,0.56,0.52,0.55,43248,0.02,0.04,3.43,7.77,0.02,1
2023-06-09,0.55,0.57,0.54,0.54,37993,-0.01,0.03,-1.67,5.56,0.01,-1
