Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-08-03,2.11,2.13,2.11,2.13,974,0.02,0.02,0.94,0.94,0.01,2.45,2.43,-0.07,-0.05,-0.02,26346468,7.43,41.67,98.33,-1.0,-56.67,Weak Sell Signal,2.75,2.45,2.15,0.25,46.71,Target Volume,Expected Range,5.46,Absent or Weak Trend
2023-08-02,2.07,2.1,2.06,2.1,541,0.03,0.04,1.6,1.9,0.02,2.46,2.44,-0.06,-0.05,-0.01,26345494,8.07,43.33,100.0,-1.0,-56.67,Weak Sell Signal,2.74,2.46,2.17,0.23,46.42,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-08-01,2.4,2.4,2.33,2.33,474,-0.07,0.07,-3.01,3.01,0.04,2.46,2.45,-0.04,-0.04,0.0,26346035,3.0,45.0,1.67,1.0,43.33,Weak Buy Signal,2.74,2.46,2.19,0.22,48.4,Target Volume,Expected Range,5.38,Absent or Weak Trend
2023-07-31,2.29,2.38,2.29,2.37,2072,0.08,0.09,3.38,3.88,0.05,2.47,2.46,-0.04,-0.04,0.0,26346509,3.38,0.0,3.33,-1.0,-3.33,High Volatility / Hold Signal,2.75,2.47,2.19,0.23,48.75,Target Volume,Expected Range,5.43,Absent or Weak Trend
2023-07-28,2.3,2.3,2.26,2.29,1023,-0.01,0.04,-0.39,1.79,0.02,2.48,2.46,-0.04,-0.04,0.0,26344437,5.08,1.67,5.0,-1.0,-3.33,High Volatility / Hold Signal,2.78,2.48,2.18,0.24,48.01,Target Volume,Expected Range,5.46,Absent or Weak Trend
2023-07-27,2.42,2.46,2.35,2.35,1539,-0.07,0.11,-2.98,4.68,0.05,2.49,2.47,-0.04,-0.04,0.0,26345460,3.34,3.33,6.67,-1.0,-3.33,High Volatility / Hold Signal,2.78,2.49,2.19,0.24,48.53,Target Volume,Expected Range,5.47,Absent or Weak Trend
2023-07-26,2.25,2.43,2.25,2.43,1133,0.18,0.18,7.41,7.41,0.09,2.49,2.47,-0.04,-0.05,0.0,26346999,3.96,5.0,8.33,-1.0,-3.33,High Volatility / Hold Signal,2.78,2.49,2.19,0.24,49.23,Target Volume,Expected Range,5.5,Absent or Weak Trend
2023-07-25,2.27,2.27,2.27,2.27,147,0.0,0.0,0.0,0.0,0.0,2.48,2.47,-0.05,-0.05,-0.01,26345866,7.33,6.67,10.0,-1.0,-3.33,High Volatility / Hold Signal,2.79,2.48,2.18,0.24,47.74,Target Volume,Expected Range,5.53,Absent or Weak Trend
2023-07-24,2.44,2.44,2.26,2.26,292,-0.18,0.18,-7.96,7.96,0.09,2.48,2.48,-0.05,-0.04,-0.01,26345719,7.33,8.33,11.67,-1.0,-3.33,High Volatility / Hold Signal,2.79,2.48,2.18,0.25,47.65,Target Volume,Expected Range,5.5,Absent or Weak Trend
2023-07-21,2.34,2.47,2.34,2.4,1945,0.06,0.13,2.5,5.42,0.07,2.48,2.48,-0.04,-0.04,-0.0,26346011,5.86,10.0,13.33,-1.0,-3.33,High Volatility / Hold Signal,2.79,2.48,2.18,0.25,48.86,Target Volume,Expected Range,5.47,Absent or Weak Trend
