Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-12,42.45,43.16,42.38,42.62,23295,0.17,0.78,0.4,1.83,0.39,1
2023-07-11,42.14,42.52,41.87,42.09,20377,-0.05,0.65,-0.12,1.54,0.33,1
2023-07-10,41.73,42.78,41.73,42.05,42024,0.32,1.05,0.76,2.49,0.52,1
2023-07-07,42.49,42.79,41.69,41.88,64156,-0.61,1.1,-1.46,2.63,0.55,-1
2023-07-06,44.19,44.19,42.34,42.72,24936,-1.47,1.85,-3.44,4.33,0.92,-1
2023-07-05,44.05,44.46,43.48,44.4,31074,0.35,0.98,0.79,2.2,0.49,1
2023-07-03,43.6,44.18,43.41,44.13,15436,0.53,0.78,1.2,1.76,0.39,1
2023-06-30,44.08,44.12,43.41,43.51,31826,-0.57,0.71,-1.31,1.63,0.36,-1
2023-06-29,43.39,44.03,43.39,43.75,22438,0.36,0.64,0.82,1.46,0.32,1
2023-06-28,43.98,44.15,43.4,43.42,32008,-0.56,0.75,-1.29,1.73,0.38,-1
2023-06-27,44.32,44.65,43.38,43.88,50321,-0.44,1.27,-1.0,2.88,0.63,-1
2023-06-26,44.3,45.52,43.89,44.23,41256,-0.07,1.63,-0.16,3.69,0.82,-1
2023-06-23,43.59,45.32,43.59,44.56,146476,0.97,1.73,2.18,3.88,0.86,1
2023-06-22,44.99,44.99,43.95,44.03,25296,-0.96,1.04,-2.18,2.36,0.52,-1
2023-06-21,44.79,45.08,44.41,44.86,27254,0.07,0.67,0.16,1.49,0.34,1
2023-06-20,45.2,45.21,44.25,44.65,53921,-0.55,0.96,-1.23,2.15,0.48,-1
2023-06-16,45.34,45.34,44.76,45.2,123110,-0.14,0.58,-0.31,1.28,0.29,1
2023-06-15,44.66,45.3,44.58,44.83,44322,0.17,0.72,0.38,1.61,0.36,-1
2023-06-14,44.7,45.14,44.68,44.89,35294,0.19,0.46,0.42,1.02,0.23,1
2023-06-13,44.88,45.16,44.16,44.69,28479,-0.19,1.0,-0.43,2.24,0.5,-1
2023-06-12,45.23,45.23,44.65,44.95,27484,-0.28,0.58,-0.62,1.28,0.29,-1
2023-06-09,44.74,45.19,44.73,45.0,22638,0.26,0.46,0.58,1.02,0.23,-1
2023-06-08,46.54,46.54,44.52,45.06,40703,-1.48,2.02,-3.28,4.48,1.01,-1
2023-06-07,45.75,46.96,45.2,46.7,64513,0.95,1.76,2.03,3.76,0.88,1
2023-06-06,44.42,45.93,44.32,45.82,63088,1.4,1.61,3.06,3.52,0.81,1
2023-06-05,45.33,45.6,44.67,44.67,24632,-0.66,0.93,-1.48,2.08,0.46,-1
2023-06-02,44.42,45.7,44.12,45.7,48122,1.28,1.58,2.8,3.46,0.79,1
2023-06-01,44.8,45.0,43.7,43.92,31300,-0.88,1.3,-2.0,2.96,0.65,-1
2023-05-31,43.67,45.4,43.56,44.9,60181,1.23,1.84,2.74,4.1,0.92,1
2023-05-30,43.18,43.89,43.16,43.82,25339,0.64,0.73,1.46,1.67,0.37,1
2023-05-26,43.3,43.69,42.77,43.31,15604,0.01,0.92,0.02,2.12,0.46,-1
2023-05-25,43.54,44.17,43.33,43.48,17377,-0.06,0.84,-0.14,1.93,0.42,-1
2023-05-24,44.94,44.94,43.56,43.58,25184,-1.36,1.38,-3.12,3.17,0.69,-1
2023-05-23,43.9,45.0,43.21,44.81,99545,0.91,1.79,2.03,3.99,0.89,1
2023-05-22,43.43,43.81,43.09,43.81,34634,0.38,0.72,0.87,1.65,0.36,1
2023-05-19,42.79,43.15,42.24,43.13,23987,0.34,0.91,0.79,2.11,0.45,1
2023-05-18,41.34,42.51,41.18,42.24,32561,0.9,1.33,2.13,3.15,0.66,1
2023-05-17,41.51,41.8,40.84,41.59,43758,0.08,0.96,0.19,2.32,0.48,1
2023-05-16,41.51,41.89,41.38,41.47,28138,-0.04,0.51,-0.1,1.23,0.25,-1
2023-05-15,42.21,42.22,41.57,41.73,17101,-0.48,0.65,-1.15,1.56,0.32,-1
2023-05-12,42.57,42.57,42.21,42.45,12221,-0.12,0.36,-0.28,0.85,0.18,-1
2023-05-11,43.65,44.14,42.86,43.15,24090,-0.5,1.28,-1.16,2.97,0.64,-1
2023-05-10,43.6,44.27,43.6,44.01,22176,0.41,0.67,0.93,1.52,0.34,1
2023-05-09,42.63,43.63,42.58,43.34,22966,0.71,1.05,1.64,2.42,0.53,1
2023-05-08,42.07,42.74,41.77,42.62,24363,0.55,0.97,1.29,2.28,0.48,1
2023-05-05,41.67,42.4,41.67,42.14,25990,0.47,0.73,1.12,1.73,0.36,1
2023-05-04,40.3,41.53,39.89,41.06,36473,0.76,1.64,1.85,3.99,0.82,1
2023-05-03,43.87,43.87,40.61,40.78,71610,-3.09,3.26,-7.58,7.99,1.63,-1
2023-05-02,44.21,44.74,43.59,44.15,47767,-0.06,1.15,-0.14,2.6,0.57,-1
2023-05-01,43.41,44.46,42.79,44.45,24637,1.04,1.67,2.34,3.76,0.84,1
2023-04-28,44.2,44.2,43.26,43.53,27753,-0.67,0.94,-1.54,2.16,0.47,-1
2023-04-27,43.27,44.05,42.97,43.89,33059,0.62,1.08,1.41,2.46,0.54,1
2023-04-26,43.87,44.24,42.93,43.24,38148,-0.63,1.31,-1.46,3.03,0.66,-1
2023-04-25,44.22,44.87,43.8,44.14,22875,-0.08,1.07,-0.18,2.42,0.54,-1
2023-04-24,44.96,45.35,44.37,44.55,22317,-0.41,0.98,-0.92,2.2,0.49,-1
2023-04-21,44.39,45.06,44.12,44.94,56876,0.55,0.94,1.22,2.08,0.47,1
2023-04-20,43.92,44.82,43.7,44.45,26165,0.53,1.12,1.19,2.52,0.56,1
2023-04-19,43.86,44.5,43.52,44.3,20110,0.44,0.98,0.99,2.21,0.49,1
2023-04-18,44.74,44.75,43.64,43.84,22899,-0.9,1.11,-2.05,2.53,0.55,-1
2023-04-17,44.58,44.9,44.18,44.5,21157,-0.08,0.72,-0.18,1.62,0.36,1
2023-04-14,45.2,45.42,44.21,44.39,25909,-0.81,1.21,-1.82,2.73,0.61,-1
2023-04-13,44.76,45.12,44.29,45.09,22799,0.33,0.83,0.73,1.84,0.41,1
2023-04-12,44.7,45.21,44.18,44.52,30612,-0.18,1.03,-0.4,2.31,0.52,-1
2023-04-11,45.45,45.99,44.56,45.01,31399,-0.44,1.43,-0.98,3.18,0.71,-1
2023-04-10,43.5,45.61,42.85,45.45,149905,1.95,2.76,4.29,6.07,1.38,1
2023-04-06,43.88,44.39,42.99,43.5,45293,-0.38,1.4,-0.87,3.22,0.7,-1
2023-04-05,43.92,44.38,43.64,43.7,22229,-0.22,0.74,-0.5,1.69,0.37,-1
2023-04-04,45.03,45.58,43.92,44.06,32976,-0.97,1.66,-2.2,3.76,0.83,-1
2023-04-03,43.05,44.94,42.87,44.68,65650,1.63,2.07,3.65,4.63,1.04,1
2023-03-31,43.13,44.1,42.66,43.51,71514,0.38,1.44,0.87,3.31,0.72,1
2023-03-30,43.92,44.71,42.5,42.66,62877,-1.26,2.21,-2.94,5.18,1.11,-1
2023-03-29,44.82,45.22,44.14,44.75,53152,-0.07,1.08,-0.16,2.41,0.54,1
2023-03-28,44.83,45.45,44.28,44.61,32209,-0.22,1.17,-0.49,2.62,0.59,-1
2023-03-27,45.45,45.58,44.55,45.06,39400,-0.39,1.03,-0.85,2.29,0.52,1
2023-03-24,43.02,45.2,42.57,45.04,44531,2.02,2.63,4.48,5.84,1.32,1
2023-03-23,43.63,44.08,42.83,43.4,45344,-0.23,1.25,-0.53,2.88,0.62,1
2023-03-22,44.83,44.83,43.39,43.39,27506,-1.44,1.44,-3.32,3.32,0.72,-1
2023-03-21,43.88,44.66,42.91,44.65,37479,0.77,1.75,1.72,3.92,0.88,1
2023-03-20,42.87,43.68,42.51,43.31,37653,0.44,1.17,1.02,2.7,0.59,1
2023-03-17,43.38,43.38,41.98,42.54,236753,-0.84,1.4,-1.97,3.28,0.7,-1
2023-03-16,42.7,44.01,42.16,43.75,51337,1.05,1.85,2.4,4.23,0.93,1
2023-03-15,41.69,43.25,41.61,43.24,72737,1.55,1.64,3.58,3.79,0.82,1
