Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-04,16.24,16.39,15.2,15.27,2210929,-0.97,1.19,-6.35,7.79,0.6,-1
2023-08-03,18.34,18.47,17.84,17.95,535667,-0.39,0.63,-2.17,3.51,0.31,-1
2023-08-02,18.47,18.58,18.28,18.36,454270,-0.11,0.3,-0.6,1.63,0.15,-1
2023-08-01,18.68,18.76,18.58,18.64,511968,-0.04,0.19,-0.21,0.99,0.09,-1
2023-07-31,18.5,18.73,18.5,18.72,391695,0.22,0.23,1.18,1.23,0.12,1
2023-07-28,18.76,18.81,18.41,18.51,307775,-0.25,0.4,-1.35,2.16,0.2,1
2023-07-27,18.72,18.72,18.39,18.5,441948,-0.22,0.33,-1.19,1.78,0.16,-1
2023-07-26,18.34,18.71,18.34,18.56,480519,0.22,0.37,1.19,1.99,0.19,1
2023-07-25,18.22,18.48,18.22,18.33,481804,0.11,0.26,0.6,1.42,0.13,-1
2023-07-24,18.04,18.48,18.04,18.35,424956,0.31,0.44,1.69,2.4,0.22,1
2023-07-21,18.49,18.49,18.04,18.06,356236,-0.43,0.45,-2.38,2.49,0.22,-1
2023-07-20,18.75,18.75,18.24,18.32,256229,-0.43,0.51,-2.35,2.78,0.26,-1
2023-07-19,18.8,18.84,18.53,18.65,373378,-0.15,0.3,-0.8,1.64,0.15,-1
2023-07-18,18.6,18.8,18.52,18.7,302333,0.1,0.28,0.53,1.5,0.14,1
2023-07-17,18.15,18.67,17.96,18.49,443236,0.34,0.71,1.84,3.84,0.36,1
2023-07-14,17.99,18.16,17.8,18.14,368224,0.15,0.36,0.83,1.98,0.18,1
2023-07-13,17.75,18.06,17.57,18.05,635414,0.3,0.49,1.66,2.71,0.24,1
2023-07-12,17.81,17.95,17.61,17.62,435098,-0.19,0.34,-1.08,1.93,0.17,1
2023-07-11,17.38,17.58,17.21,17.39,286743,0.01,0.37,0.06,2.13,0.18,1
2023-07-10,16.76,17.31,16.76,17.3,352292,0.54,0.55,3.12,3.18,0.27,1
2023-07-07,16.69,17.13,16.59,16.87,317690,0.18,0.54,1.07,3.21,0.27,1
2023-07-06,16.96,17.1,16.48,16.56,463876,-0.4,0.62,-2.42,3.71,0.31,-1
2023-07-05,17.38,17.47,17.09,17.29,803149,-0.09,0.38,-0.52,2.2,0.19,-1
2023-07-03,17.55,17.78,17.47,17.51,232584,-0.04,0.32,-0.23,1.8,0.16,-1
2023-06-30,17.99,17.99,17.65,17.66,439347,-0.33,0.34,-1.87,1.93,0.17,-1
2023-06-29,17.33,17.78,17.33,17.78,933289,0.45,0.45,2.53,2.53,0.23,1
2023-06-28,17.52,17.53,17.3,17.37,398360,-0.15,0.23,-0.86,1.32,0.12,-1
2023-06-27,17.3,17.67,17.25,17.51,532958,0.21,0.42,1.2,2.42,0.21,1
2023-06-26,17.22,17.5,17.2,17.33,421472,0.11,0.3,0.63,1.76,0.15,1
2023-06-23,17.23,17.55,17.04,17.21,658034,-0.02,0.51,-0.12,2.96,0.26,-1
2023-06-22,17.85,17.85,17.51,17.58,362662,-0.27,0.34,-1.54,1.93,0.17,-1
2023-06-21,17.7,17.99,17.66,17.87,342450,0.17,0.33,0.95,1.87,0.17,1
2023-06-20,17.51,17.86,17.43,17.79,374412,0.28,0.43,1.57,2.42,0.21,1
2023-06-16,17.84,17.84,17.41,17.62,1686217,-0.22,0.43,-1.25,2.44,0.21,-1
2023-06-15,17.15,17.67,17.15,17.64,559826,0.49,0.52,2.78,2.95,0.26,1
2023-06-14,17.72,17.87,17.26,17.35,536384,-0.37,0.61,-2.13,3.52,0.3,-1
2023-06-13,17.66,17.9,17.44,17.67,539870,0.01,0.46,0.06,2.6,0.23,1
2023-06-12,17.3,17.6,17.08,17.5,546835,0.2,0.52,1.14,2.97,0.26,1
2023-06-09,17.6,17.6,17.18,17.42,491816,-0.18,0.42,-1.03,2.38,0.21,-1
2023-06-08,17.57,17.71,17.31,17.57,464925,0.0,0.4,0.0,2.28,0.2,-1
2023-06-07,17.25,17.79,17.15,17.67,577572,0.42,0.64,2.38,3.62,0.32,1
2023-06-06,16.6,17.12,16.54,17.07,409908,0.47,0.58,2.75,3.4,0.29,1
2023-06-05,16.83,16.86,16.29,16.58,508400,-0.25,0.57,-1.51,3.44,0.29,-1
2023-06-02,16.41,17.11,16.41,17.05,930843,0.64,0.7,3.75,4.11,0.35,1
2023-06-01,16.01,16.3,15.84,16.04,664430,0.03,0.46,0.19,2.87,0.23,1
2023-05-31,16.26,16.38,15.79,16.03,1176852,-0.23,0.59,-1.43,3.68,0.29,-1
2023-05-30,16.72,16.77,16.35,16.39,289623,-0.33,0.42,-2.01,2.56,0.21,-1
2023-05-26,16.55,16.74,16.4,16.61,487323,0.06,0.34,0.36,2.05,0.17,1
2023-05-25,16.42,16.64,16.13,16.57,442595,0.15,0.51,0.91,3.08,0.26,1
2023-05-24,16.7,16.78,16.36,16.52,583481,-0.18,0.43,-1.09,2.57,0.21,-1
2023-05-23,16.91,17.11,16.81,16.87,763952,-0.04,0.3,-0.24,1.78,0.15,-1
2023-05-22,17.15,17.27,16.97,17.08,326879,-0.07,0.3,-0.41,1.76,0.15,1
2023-05-19,17.58,17.59,16.93,17.04,391040,-0.54,0.66,-3.17,3.87,0.33,-1
2023-05-18,17.11,17.43,16.91,17.38,399186,0.27,0.52,1.55,3.02,0.26,1
2023-05-17,16.53,17.24,16.52,17.14,451678,0.61,0.72,3.56,4.2,0.36,1
2023-05-16,16.35,16.45,16.23,16.39,323782,0.04,0.22,0.24,1.34,0.11,-1
2023-05-15,16.14,16.61,16.08,16.58,362844,0.44,0.53,2.65,3.2,0.27,1
2023-05-12,16.34,16.39,15.99,16.08,332824,-0.26,0.4,-1.62,2.49,0.2,-1
2023-05-11,16.25,16.46,16.07,16.27,552443,0.02,0.39,0.12,2.4,0.2,-1
2023-05-10,16.42,16.44,16.01,16.42,987441,0.0,0.43,0.0,2.62,0.21,1
2023-05-09,16.34,16.34,15.93,16.12,773104,-0.22,0.41,-1.36,2.54,0.21,-1
2023-05-08,16.34,16.6,16.26,16.4,1379771,0.06,0.33,0.37,2.01,0.17,1
2023-05-05,16.46,16.77,16.0,16.14,1173006,-0.32,0.77,-1.98,4.77,0.38,1
2023-05-04,16.38,17.07,15.62,16.13,1474570,-0.25,1.46,-1.55,9.02,0.73,-1
2023-05-03,17.5,17.71,17.12,17.21,775399,-0.29,0.59,-1.69,3.42,0.29,-1
2023-05-02,17.72,17.77,17.1,17.36,566269,-0.36,0.67,-2.07,3.86,0.33,-1
2023-05-01,17.77,18.14,17.77,17.88,391179,0.11,0.37,0.62,2.08,0.19,1
2023-04-28,17.36,17.93,17.36,17.8,506223,0.44,0.57,2.47,3.2,0.29,1
2023-04-27,16.97,17.49,16.89,17.37,473727,0.4,0.6,2.3,3.45,0.3,1
2023-04-26,17.01,17.2,16.82,16.88,347222,-0.13,0.38,-0.77,2.25,0.19,-1
2023-04-25,17.64,17.87,17.23,17.23,409376,-0.41,0.64,-2.38,3.74,0.32,-1
2023-04-24,17.99,18.08,17.7,17.94,354907,-0.05,0.38,-0.28,2.12,0.19,-1
2023-04-21,18.28,18.34,17.97,18.05,610420,-0.23,0.37,-1.27,2.05,0.19,-1
2023-04-20,17.97,18.39,17.87,18.24,908776,0.27,0.52,1.48,2.85,0.26,1
2023-04-19,18.04,18.17,17.83,18.15,487116,0.11,0.34,0.61,1.87,0.17,1
2023-04-18,18.12,18.35,17.92,18.13,521048,0.01,0.43,0.06,2.37,0.21,1
2023-04-17,18.02,18.14,17.88,18.08,303018,0.06,0.26,0.33,1.44,0.13,1
2023-04-14,18.08,18.32,17.75,18.0,455012,-0.08,0.57,-0.44,3.17,0.29,-1
2023-04-13,17.88,18.24,17.66,18.23,526189,0.35,0.58,1.92,3.18,0.29,1
2023-04-12,18.29,18.34,17.85,17.91,374216,-0.38,0.49,-2.12,2.74,0.24,-1
2023-04-11,17.85,18.13,17.74,18.04,560872,0.19,0.39,1.05,2.16,0.2,1
2023-04-10,17.3,17.8,17.3,17.72,582614,0.42,0.5,2.37,2.79,0.25,1
2023-04-06,17.32,17.4,17.04,17.29,967462,-0.03,0.36,-0.17,2.08,0.18,-1
2023-04-05,17.41,17.56,17.31,17.34,886814,-0.07,0.25,-0.4,1.44,0.12,-1
2023-04-04,18.35,18.41,17.48,17.59,514905,-0.76,0.93,-4.32,5.26,0.46,-1
2023-04-03,18.19,18.27,17.99,18.26,641966,0.07,0.29,0.38,1.56,0.14,-1
2023-03-31,17.96,18.3,17.91,18.28,575132,0.32,0.39,1.75,2.13,0.2,1
2023-03-30,17.71,17.9,17.62,17.79,390859,0.08,0.28,0.45,1.57,0.14,1
2023-03-29,17.61,17.68,17.27,17.53,541218,-0.08,0.41,-0.46,2.34,0.21,1
2023-03-28,17.17,17.51,17.12,17.4,425149,0.23,0.39,1.32,2.24,0.2,1
2023-03-27,17.46,17.48,17.16,17.3,498916,-0.16,0.32,-0.92,1.82,0.16,1
2023-03-24,16.88,17.14,16.7,17.14,512024,0.26,0.44,1.52,2.57,0.22,1
2023-03-23,17.4,17.67,16.88,17.04,674333,-0.36,0.8,-2.11,4.67,0.4,-1
2023-03-22,17.51,17.7,17.23,17.28,1217494,-0.23,0.46,-1.33,2.69,0.23,-1
2023-03-21,17.39,17.69,17.26,17.48,701459,0.09,0.43,0.51,2.46,0.21,1
2023-03-20,17.08,17.48,16.98,16.98,1031024,-0.1,0.5,-0.59,2.94,0.25,1
2023-03-17,17.32,17.32,16.77,16.87,3995155,-0.45,0.55,-2.67,3.26,0.28,-1
2023-03-16,16.74,17.52,16.55,17.41,758853,0.67,0.97,3.85,5.6,0.49,1
2023-03-15,16.24,16.97,16.21,16.94,1371820,0.7,0.76,4.13,4.49,0.38,-1
2023-03-14,17.45,17.57,16.62,16.96,744988,-0.49,0.95,-2.89,5.6,0.47,1
2023-03-13,16.76,16.89,16.4,16.74,949058,-0.02,0.49,-0.12,2.93,0.25,-1
2023-03-10,17.55,17.55,16.97,17.23,840881,-0.32,0.58,-1.86,3.37,0.29,-1
2023-03-09,18.1,18.3,17.7,17.71,683521,-0.39,0.6,-2.2,3.39,0.3,-1
2023-03-08,17.68,18.16,17.62,18.09,756353,0.41,0.54,2.27,2.96,0.27,1
2023-03-07,17.61,17.62,17.3,17.35,642396,-0.26,0.32,-1.5,1.87,0.16,-1
2023-03-06,18.7,18.7,17.3,17.57,860652,-1.13,1.4,-6.43,7.97,0.7,-1
2023-03-03,18.78,18.94,18.46,18.77,511284,-0.01,0.48,-0.05,2.58,0.24,1
2023-03-02,18.53,18.77,18.27,18.73,544807,0.2,0.5,1.07,2.67,0.25,-1
2023-03-01,18.34,18.81,18.26,18.81,691134,0.47,0.55,2.5,2.92,0.27,1
2023-02-28,18.28,18.5,18.28,18.34,630019,0.06,0.22,0.33,1.2,0.11,-1
2023-02-27,18.65,18.68,18.23,18.35,583903,-0.3,0.45,-1.63,2.45,0.22,-1
2023-02-24,18.3,18.47,18.18,18.39,613894,0.09,0.29,0.49,1.58,0.14,-1
2023-02-23,18.45,18.74,18.08,18.63,1031362,0.18,0.67,0.97,3.57,0.33,1
2023-02-22,18.26,18.51,18.11,18.33,1033245,0.07,0.4,0.38,2.18,0.2,1
2023-02-21,19.53,19.57,18.23,18.23,1071572,-1.3,1.34,-7.13,7.35,0.67,-1
2023-02-17,19.6,19.93,19.28,19.86,875545,0.26,0.64,1.31,3.25,0.32,1
2023-02-16,18.65,20.16,18.65,19.58,1344339,0.93,1.51,4.75,7.73,0.76,1
2023-02-15,18.85,19.33,18.65,18.96,953324,0.11,0.68,0.58,3.59,0.34,-1
2023-02-14,18.92,19.28,18.82,19.13,601973,0.21,0.46,1.1,2.43,0.23,-1
2023-02-13,18.8,19.27,18.6,19.17,437744,0.37,0.67,1.93,3.5,0.33,1
2023-02-10,18.57,18.84,18.42,18.79,390869,0.22,0.42,1.17,2.24,0.21,1
2023-02-09,19.31,19.48,18.64,18.68,412777,-0.63,0.84,-3.37,4.47,0.42,-1
2023-02-08,19.42,19.46,18.95,19.04,364593,-0.38,0.51,-2.0,2.68,0.26,-1
2023-02-07,19.31,19.72,19.16,19.65,467439,0.34,0.55,1.73,2.82,0.28,1
2023-02-06,19.57,19.7,19.26,19.5,436119,-0.07,0.44,-0.36,2.26,0.22,-1
2023-02-03,19.5,20.07,19.41,19.75,639106,0.25,0.66,1.27,3.34,0.33,1
2023-02-02,19.47,19.94,19.29,19.73,590839,0.26,0.65,1.32,3.29,0.33,1
2023-02-01,19.13,19.4,18.67,19.21,804195,0.08,0.73,0.42,3.8,0.36,-1
