Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-07-24,52.51,54.06,52.3,53.81,1201154,1.3,1.76,2.42,3.26,0.88,1
2023-07-21,52.24,52.71,51.22,52.61,1276834,0.37,1.49,0.7,2.83,0.75,1
2023-07-20,52.35,52.44,51.52,52.17,1057189,-0.18,0.92,-0.35,1.76,0.46,-1
2023-07-19,52.96,53.19,52.33,52.76,963877,-0.2,0.86,-0.38,1.63,0.43,1
2023-07-18,51.42,53.13,51.26,52.68,857168,1.26,1.87,2.39,3.55,0.94,1
2023-07-17,52.9,53.55,51.35,51.66,1094331,-1.24,2.2,-2.4,4.26,1.1,-1
2023-07-14,55.12,55.38,53.06,53.26,1231115,-1.86,2.31,-3.49,4.34,1.16,-1
2023-07-13,55.0,55.95,54.65,55.65,701044,0.65,1.3,1.17,2.34,0.65,1
2023-07-12,56.03,56.36,54.63,55.0,977105,-1.03,1.73,-1.87,3.15,0.86,1
2023-07-11,56.46,56.86,54.62,54.79,1031232,-1.67,2.24,-3.05,4.09,1.12,-1
2023-07-10,55.5,56.61,55.37,56.44,710599,0.94,1.24,1.67,2.2,0.62,1
2023-07-07,55.48,56.56,53.69,55.74,913226,0.26,2.87,0.47,5.15,1.44,-1
2023-07-06,55.38,56.26,55.16,56.16,607772,0.78,1.1,1.39,1.96,0.55,-1
2023-07-05,57.37,57.37,55.98,56.22,693167,-1.15,1.39,-2.05,2.47,0.7,-1
2023-07-03,55.93,58.0,55.84,57.77,372826,1.84,2.16,3.19,3.74,1.08,1
2023-06-30,56.41,56.59,55.36,56.01,751537,-0.4,1.23,-0.71,2.2,0.62,1
2023-06-29,54.09,56.02,54.09,55.91,586345,1.82,1.93,3.26,3.46,0.97,1
2023-06-28,55.15,55.32,54.08,54.36,658490,-0.79,1.24,-1.45,2.28,0.62,-1
2023-06-27,55.02,55.86,54.04,55.3,612139,0.28,1.82,0.51,3.29,0.91,1
2023-06-26,54.64,55.95,54.42,54.51,772693,-0.13,1.53,-0.24,2.81,0.77,-1
2023-06-23,54.58,55.94,54.52,55.5,1413223,0.92,1.42,1.66,2.56,0.71,-1
2023-06-22,56.98,56.98,55.16,55.54,647986,-1.44,1.82,-2.59,3.28,0.91,-1
2023-06-21,57.33,57.87,56.23,57.29,520667,-0.04,1.64,-0.07,2.86,0.82,-1
2023-06-20,57.95,58.44,56.9,57.31,550002,-0.64,1.55,-1.12,2.7,0.77,-1
2023-06-16,60.3,60.61,58.1,58.62,696779,-1.68,2.51,-2.87,4.28,1.25,-1
2023-06-15,59.31,60.26,59.27,59.69,564204,0.38,0.99,0.64,1.66,0.49,-1
2023-06-14,61.16,61.27,59.79,60.39,716712,-0.77,1.48,-1.28,2.45,0.74,-1
2023-06-13,59.73,61.3,59.37,60.99,678561,1.26,1.93,2.07,3.16,0.96,1
2023-06-12,57.77,59.65,57.35,59.43,926523,1.66,2.3,2.79,3.87,1.15,1
2023-06-09,57.97,58.06,56.79,57.35,428044,-0.62,1.27,-1.08,2.21,0.64,-1
2023-06-08,58.59,58.86,57.65,57.97,640634,-0.62,1.21,-1.07,2.09,0.61,-1
2023-06-07,58.65,59.98,58.0,58.79,1035043,0.14,1.98,0.24,3.37,0.99,1
2023-06-06,56.65,58.4,56.65,58.12,899196,1.47,1.75,2.53,3.01,0.88,1
2023-06-05,58.0,58.12,56.94,57.18,444422,-0.82,1.18,-1.43,2.06,0.59,-1
2023-06-02,57.38,58.57,57.23,58.49,1084184,1.11,1.34,1.9,2.29,0.67,1
2023-06-01,56.55,57.19,55.46,56.32,670221,-0.23,1.73,-0.41,3.07,0.86,1
2023-05-31,56.65,56.76,55.46,55.76,830677,-0.89,1.3,-1.6,2.33,0.65,-1
2023-05-30,55.52,56.13,54.92,56.0,973474,0.48,1.21,0.86,2.16,0.61,1
2023-05-26,54.22,55.57,53.71,55.39,595070,1.17,1.86,2.11,3.36,0.93,1
2023-05-25,55.52,55.89,54.1,54.38,650502,-1.14,1.79,-2.1,3.29,0.89,-1
2023-05-24,54.53,55.52,53.72,55.43,494888,0.9,1.8,1.62,3.26,0.9,1
2023-05-23,56.29,56.38,54.61,54.88,688950,-1.41,1.77,-2.57,3.23,0.89,-1
2023-05-22,55.89,57.18,55.66,56.84,916374,0.95,1.52,1.67,2.67,0.76,1
2023-05-19,57.4,57.57,55.39,55.89,639181,-1.51,2.18,-2.7,3.9,1.09,-1
2023-05-18,55.24,57.62,55.24,57.4,681133,2.16,2.38,3.76,4.15,1.19,1
2023-05-17,54.94,56.92,54.47,56.36,924638,1.42,2.45,2.52,4.35,1.23,1
2023-05-16,57.08,57.36,54.94,55.0,740116,-2.08,2.42,-3.78,4.4,1.21,-1
