Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-01,5.02,5.08,4.84,4.97,1475279,-0.05,0.24,-1.01,4.83,0.12,-1
2023-07-31,4.9,5.2,4.9,5.11,2013652,0.21,0.3,4.11,5.87,0.15,1
2023-07-28,4.55,5.0,4.55,4.91,2090253,0.36,0.45,7.33,9.16,0.23,1
2023-07-27,4.59,4.86,4.43,4.48,2464375,-0.11,0.43,-2.46,9.49,0.21,-1
2023-07-26,4.07,4.61,4.05,4.57,2974885,0.5,0.56,10.84,12.25,0.28,1
2023-07-25,4.21,4.24,4.01,4.05,1971956,-0.16,0.23,-3.95,5.56,0.11,-1
2023-07-24,4.25,4.3,4.16,4.24,1476846,-0.01,0.14,-0.24,3.3,0.07,-1
2023-07-21,4.27,4.32,4.13,4.25,1230380,-0.02,0.19,-0.47,4.35,0.09,1
2023-07-20,4.25,4.27,4.07,4.23,1773547,-0.02,0.2,-0.47,4.73,0.1,-1
2023-07-19,4.22,4.35,4.14,4.29,1827552,0.07,0.21,1.63,4.9,0.1,1
2023-07-18,4.03,4.28,4.03,4.18,1870980,0.15,0.25,3.59,6.1,0.13,1
2023-07-17,4.0,4.09,3.9,4.03,1529660,0.03,0.19,0.74,4.59,0.09,1
2023-07-14,4.2,4.24,3.96,4.0,1540888,-0.2,0.28,-5.0,6.88,0.14,-1
2023-07-13,4.36,4.37,4.16,4.2,1709949,-0.16,0.21,-3.81,4.88,0.1,-1
2023-07-12,4.42,4.48,4.22,4.29,1597845,-0.13,0.26,-3.03,6.04,0.13,-1
2023-07-11,4.27,4.47,4.25,4.33,2595025,0.06,0.22,1.39,5.08,0.11,1
2023-07-10,3.97,4.24,3.9,4.24,2453983,0.27,0.35,6.37,8.14,0.17,1
2023-07-07,3.8,4.0,3.8,3.97,2662820,0.17,0.2,4.28,5.04,0.1,1
2023-07-06,3.98,3.98,3.69,3.76,2564059,-0.22,0.29,-5.85,7.71,0.15,-1
2023-07-05,4.23,4.23,3.96,4.01,2272771,-0.22,0.27,-5.49,6.73,0.14,-1
2023-07-03,3.9,4.24,3.9,4.23,2086522,0.33,0.34,7.8,8.09,0.17,1
2023-06-30,3.83,3.9,3.77,3.85,2637064,0.02,0.13,0.52,3.38,0.06,1
2023-06-29,3.69,3.8,3.66,3.72,2119351,0.03,0.15,0.81,3.9,0.07,1
2023-06-28,3.63,3.69,3.55,3.68,2402938,0.05,0.14,1.36,3.8,0.07,1
2023-06-27,3.72,3.79,3.63,3.63,2129856,-0.09,0.16,-2.48,4.41,0.08,-1
2023-06-26,3.69,3.91,3.62,3.7,3890871,0.01,0.29,0.27,7.81,0.14,1
2023-06-23,3.56,3.73,3.54,3.69,4778692,0.13,0.19,3.52,5.15,0.09,1
2023-06-22,3.58,3.66,3.52,3.6,2080672,0.02,0.14,0.56,3.75,0.07,-1
2023-06-21,3.7,3.74,3.55,3.64,3629427,-0.06,0.19,-1.65,5.22,0.1,-1
2023-06-20,3.98,4.07,3.72,3.73,5585435,-0.25,0.36,-6.7,9.52,0.18,-1
2023-06-16,4.13,4.13,3.9,4.02,9155497,-0.11,0.23,-2.74,5.72,0.12,-1
2023-06-15,4.15,4.19,4.02,4.08,4040505,-0.07,0.17,-1.72,4.16,0.08,-1
