Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-22,0.43,0.48,0.39,0.46,805522,0.03,0.09,6.12,19.15,0.04,-1
2023-08-21,0.52,0.53,0.47,0.49,3609070,-0.03,0.06,-5.79,12.65,0.03,1
2023-08-18,0.46,0.48,0.43,0.44,60127,-0.02,0.04,-4.14,10.16,0.02,-1
2023-08-17,0.47,0.47,0.45,0.46,41237,-0.01,0.02,-1.57,4.36,0.01,-1
2023-08-16,0.48,0.48,0.46,0.47,64249,-0.01,0.03,-1.98,6.37,0.01,-1
2023-08-15,0.48,0.49,0.47,0.48,65107,-0.0,0.02,-0.25,4.2,0.01,-1
2023-08-14,0.47,0.48,0.46,0.48,51797,0.01,0.02,1.18,5.15,0.01,1
2023-08-11,0.44,0.48,0.44,0.47,83234,0.04,0.05,7.98,10.25,0.02,1
2023-08-10,0.47,0.48,0.43,0.44,428758,-0.03,0.05,-6.68,10.97,0.02,-1
2023-08-09,0.47,0.47,0.46,0.46,160377,-0.01,0.02,-2.64,4.33,0.01,-1
2023-08-08,0.48,0.49,0.46,0.47,87503,-0.01,0.03,-1.27,5.84,0.01,-1
2023-08-07,0.51,0.51,0.47,0.47,79171,-0.04,0.04,-8.03,8.67,0.02,-1
2023-08-04,0.48,0.5,0.48,0.5,143654,0.02,0.03,4.41,5.61,0.01,1
2023-08-03,0.48,0.5,0.47,0.48,105611,-0.0,0.03,-1.02,5.54,0.01,-1
2023-08-02,0.47,0.5,0.47,0.49,65366,0.02,0.02,3.25,4.74,0.01,-1
2023-08-01,0.5,0.5,0.47,0.5,164008,-0.01,0.03,-1.21,6.75,0.02,1
2023-07-31,0.49,0.52,0.49,0.49,160501,0.01,0.03,1.16,6.07,0.01,-1
2023-07-28,0.49,0.52,0.48,0.5,120475,0.01,0.04,1.72,8.81,0.02,1
2023-07-27,0.5,0.52,0.48,0.49,227274,-0.01,0.04,-2.52,7.98,0.02,-1
2023-07-26,0.52,0.53,0.49,0.5,112747,-0.02,0.04,-3.98,8.0,0.02,-1
2023-07-25,0.52,0.53,0.51,0.52,118399,0.0,0.02,0.35,3.33,0.01,-1
2023-07-24,0.51,0.54,0.5,0.52,195574,0.02,0.04,3.47,8.2,0.02,1
2023-07-21,0.5,0.52,0.47,0.49,146948,-0.01,0.05,-2.26,10.49,0.03,-1
2023-07-20,0.52,0.52,0.49,0.49,110751,-0.03,0.03,-5.49,5.89,0.01,-1
2023-07-19,0.49,0.54,0.48,0.52,290342,0.03,0.06,5.59,10.6,0.03,1
2023-07-18,0.47,0.5,0.47,0.5,160856,0.03,0.03,5.05,6.06,0.02,1
2023-07-17,0.49,0.51,0.46,0.46,274298,-0.02,0.05,-5.18,11.62,0.03,-1
2023-07-14,0.58,0.58,0.47,0.49,864332,-0.09,0.11,-19.1,23.33,0.06,-1
2023-07-13,0.63,0.64,0.52,0.55,811353,-0.08,0.12,-14.55,22.11,0.06,-1
2023-07-12,0.68,0.78,0.62,0.64,1223213,-0.05,0.16,-7.08,24.94,0.08,1
2023-07-11,0.61,0.63,0.52,0.61,1156343,-0.0,0.1,-0.1,17.33,0.05,1
2023-07-10,0.48,0.53,0.47,0.52,292893,0.04,0.06,7.69,11.54,0.03,1
2023-07-07,0.49,0.58,0.47,0.5,2171004,0.01,0.11,1.8,21.76,0.05,1
2023-07-06,0.48,0.49,0.47,0.47,63190,-0.01,0.02,-2.09,4.64,0.01,-1
2023-07-05,0.48,0.5,0.47,0.49,170917,0.01,0.03,2.04,5.59,0.01,-1
2023-07-03,0.5,0.51,0.47,0.49,141701,-0.01,0.04,-2.04,8.37,0.02,-1
2023-06-30,0.5,0.52,0.5,0.51,42888,0.01,0.02,1.42,3.9,0.01,-1
2023-06-29,0.52,0.53,0.49,0.51,189231,-0.01,0.04,-2.77,7.79,0.02,-1
2023-06-28,0.54,0.56,0.52,0.52,92624,-0.02,0.04,-3.28,8.55,0.02,-1
2023-06-27,0.58,0.61,0.53,0.55,153307,-0.03,0.08,-5.02,14.3,0.04,-1
2023-06-26,0.57,0.6,0.56,0.58,81554,0.01,0.03,1.74,6.0,0.02,1
2023-06-23,0.59,0.6,0.56,0.56,70029,-0.03,0.04,-5.37,6.73,0.02,-1
2023-06-22,0.59,0.62,0.59,0.59,80194,0.0,0.03,0.05,5.56,0.02,-1
2023-06-21,0.59,0.6,0.57,0.6,30287,0.01,0.03,1.26,4.29,0.01,1
2023-06-20,0.59,0.62,0.53,0.57,165074,-0.02,0.09,-3.29,15.53,0.04,-1
2023-06-16,0.55,0.61,0.55,0.6,327960,0.05,0.06,8.33,10.0,0.03,1
2023-06-15,0.59,0.6,0.55,0.55,89969,-0.04,0.05,-7.25,9.09,0.02,-1
2023-06-14,0.59,0.61,0.57,0.57,53999,-0.02,0.04,-3.2,6.7,0.02,-1
2023-06-13,0.59,0.61,0.57,0.58,37213,-0.01,0.04,-1.67,7.29,0.02,1
2023-06-12,0.62,0.62,0.56,0.57,111782,-0.05,0.05,-8.19,9.47,0.03,-1
2023-06-09,0.6,0.62,0.6,0.62,56759,0.02,0.02,3.19,3.84,0.01,1
2023-06-08,0.56,0.61,0.56,0.59,139812,0.03,0.05,5.06,8.46,0.02,1
2023-06-07,0.56,0.58,0.55,0.57,38608,0.01,0.03,1.16,4.59,0.01,1
2023-06-06,0.58,0.58,0.52,0.55,304126,-0.03,0.06,-4.77,10.62,0.03,-1
2023-06-05,0.61,0.63,0.59,0.6,117106,-0.01,0.04,-1.67,6.25,0.02,-1
2023-06-02,0.63,0.64,0.6,0.6,62841,-0.03,0.04,-4.58,6.62,0.02,-1
2023-06-01,0.58,0.64,0.58,0.62,72567,0.04,0.06,6.5,9.67,0.03,1
2023-05-31,0.65,0.66,0.6,0.6,142210,-0.05,0.06,-7.96,9.96,0.03,-1
2023-05-30,0.64,0.69,0.6,0.63,220696,-0.01,0.09,-1.57,14.19,0.04,-1
2023-05-26,0.81,0.84,0.7,0.73,340495,-0.08,0.13,-11.23,18.29,0.07,-1
2023-05-25,0.83,0.84,0.81,0.81,26584,-0.02,0.03,-2.47,3.48,0.01,-1
2023-05-24,0.87,0.88,0.83,0.83,15174,-0.04,0.05,-4.4,5.77,0.02,-1
2023-05-23,0.82,0.88,0.82,0.86,30511,0.04,0.06,4.74,6.73,0.03,1
2023-05-22,0.82,0.89,0.82,0.82,35517,0.01,0.07,0.61,7.95,0.03,-1
2023-05-19,0.86,0.86,0.81,0.84,56290,-0.02,0.05,-2.38,6.4,0.03,1
2023-05-18,0.9,0.9,0.81,0.83,74410,-0.06,0.09,-7.57,10.82,0.04,-1
2023-05-17,0.94,0.94,0.87,0.9,96295,-0.04,0.07,-4.44,7.77,0.03,-1
2023-05-16,0.96,0.96,0.9,0.91,64374,-0.05,0.06,-5.49,6.59,0.03,-1
2023-05-15,0.93,1.0,0.89,0.96,245444,0.03,0.11,2.84,11.38,0.05,1
2023-05-12,0.94,0.96,0.93,0.94,64102,0.0,0.03,0.0,3.57,0.02,-1
2023-05-11,0.99,1.16,0.92,0.94,1004882,-0.05,0.24,-5.32,26.06,0.12,-1
2023-05-10,1.0,1.0,0.97,0.99,30056,-0.01,0.03,-1.08,3.01,0.01,1
2023-05-09,1.0,1.0,0.97,0.97,57719,-0.03,0.03,-2.86,3.09,0.02,-1
2023-05-08,0.97,1.0,0.97,1.0,176050,0.03,0.03,2.6,3.01,0.02,1
2023-05-05,0.95,0.98,0.95,0.97,34997,0.02,0.03,2.06,3.09,0.02,1
2023-05-04,0.96,0.98,0.94,0.96,13802,-0.01,0.03,-1.05,3.4,0.02,-1
2023-05-03,0.98,0.98,0.95,0.97,59215,-0.01,0.03,-1.03,2.99,0.01,-1
2023-05-02,0.97,0.99,0.96,0.97,24962,0.0,0.03,0.23,3.31,0.02,-1
2023-05-01,1.0,1.0,0.96,0.97,82778,-0.03,0.04,-3.09,4.12,0.02,-1
2023-04-28,0.96,0.99,0.95,0.99,69394,0.03,0.04,2.89,4.04,0.02,1
2023-04-27,0.91,0.97,0.91,0.95,26980,0.04,0.06,4.17,5.93,0.03,-1
2023-04-26,0.97,0.98,0.95,0.96,58614,-0.01,0.03,-1.05,2.66,0.01,-1
