Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,SMA,EMA,MACD,MACD_Signal,MACD_Hist,OBV,DX,Aroon Up,Aroon Down,aroon_check,aroon_gap,Aroon Buying Signal,bband_upper,bband_middle,bband_lower,BBW,RSI,Volume Analysis,Value Analysis,ADX,Trend Strength
2023-07-28,113.0,114.28,108.84,109.61,2173536,-3.39,5.44,-3.09,4.96,2.72,110.84,110.97,0.42,1.01,-0.59,120092052,4.85,88.33,13.33,1.0,75.0,Strong Buy Signal,116.6,110.84,105.08,0.1,51.3,Target Volume,Expected Range,9.88,Absent or Weak Trend
2023-07-27,113.38,114.55,111.78,112.22,2106993,-1.16,2.77,-1.03,2.47,1.39,110.9,111.02,0.81,1.16,-0.35,122265588,9.93,90.0,15.0,1.0,75.0,Strong Buy Signal,116.67,110.9,105.12,0.1,53.29,Target Volume,Expected Range,9.96,Absent or Weak Trend
2023-07-26,113.35,113.65,112.2,112.93,914635,-0.42,1.45,-0.37,1.28,0.73,110.89,110.98,1.02,1.24,-0.23,124372581,8.6,91.67,16.67,1.0,75.0,Strong Buy Signal,116.65,110.89,105.12,0.1,53.85,Target Volume,Expected Range,9.96,Absent or Weak Trend
2023-07-25,113.26,114.08,112.23,112.4,1462668,-0.86,1.85,-0.77,1.65,0.92,110.84,110.91,1.2,1.3,-0.1,123457946,8.65,93.33,18.33,1.0,75.0,Strong Buy Signal,116.58,110.84,105.09,0.1,53.49,Target Volume,Expected Range,9.99,Absent or Weak Trend
2023-07-24,115.7,116.86,113.49,113.62,1117809,-2.08,3.37,-1.83,2.97,1.69,110.79,110.86,1.47,1.33,0.14,124920614,10.88,95.0,20.0,1.0,75.0,Strong Buy Signal,116.53,110.79,105.06,0.1,54.45,Target Volume,Expected Range,10.01,Absent or Weak Trend
2023-07-21,117.17,117.5,115.59,115.88,675633,-1.29,1.91,-1.11,1.65,0.95,110.7,110.77,1.67,1.29,0.38,126038423,14.73,96.67,21.67,1.0,75.0,Strong Buy Signal,116.43,110.7,104.96,0.1,56.28,Target Volume,Expected Range,9.99,Absent or Weak Trend
2023-07-20,117.46,117.54,116.07,116.1,501048,-1.36,1.47,-1.17,1.27,0.74,110.56,110.59,1.67,1.2,0.47,126714056,15.63,98.33,23.33,1.0,75.0,Strong Buy Signal,116.19,110.56,104.92,0.1,56.46,Target Volume,Expected Range,9.91,Absent or Weak Trend
2023-07-19,117.16,118.16,116.5,117.27,810810,0.11,1.66,0.09,1.42,0.83,110.42,110.41,1.62,1.08,0.54,127215104,16.44,100.0,25.0,1.0,75.0,Strong Buy Signal,115.91,110.42,104.92,0.1,57.43,Target Volume,Expected Range,9.82,Absent or Weak Trend
2023-07-18,115.35,117.01,114.39,116.33,740490,0.98,2.62,0.84,2.25,1.31,110.28,110.17,1.41,0.94,0.47,126404294,14.87,100.0,26.67,1.0,73.33,Strong Buy Signal,115.49,110.28,105.08,0.09,56.85,Target Volume,Expected Range,9.7,Absent or Weak Trend
2023-07-17,114.15,116.07,114.15,114.77,883378,0.62,1.92,0.54,1.67,0.96,110.16,109.96,1.23,0.83,0.4,125663804,13.58,35.0,28.33,1.0,6.67,High Volatility / Hold Signal,115.13,110.16,105.18,0.09,55.85,Target Volume,Expected Range,9.62,Absent or Weak Trend
2023-07-14,114.48,115.75,113.92,114.01,806129,-0.47,1.83,-0.41,1.61,0.91,110.05,109.8,1.13,0.73,0.41,124780426,13.13,36.67,30.0,1.0,6.67,High Volatility / Hold Signal,114.89,110.05,105.21,0.09,55.36,Target Volume,Expected Range,9.55,Absent or Weak Trend
2023-07-13,115.59,115.59,113.81,114.06,805640,-1.53,1.78,-1.34,1.56,0.89,109.96,109.66,1.07,0.62,0.45,125586555,12.91,38.33,31.67,1.0,6.67,High Volatility / Hold Signal,114.71,109.96,105.21,0.09,55.4,Target Volume,Expected Range,9.49,Absent or Weak Trend
2023-07-12,114.5,115.34,113.93,115.02,753379,0.52,1.41,0.45,1.23,0.7,109.86,109.51,0.97,0.51,0.46,126392195,12.57,40.0,33.33,1.0,6.67,High Volatility / Hold Signal,114.51,109.86,105.22,0.08,56.17,Target Volume,Expected Range,9.43,Absent or Weak Trend
2023-07-11,113.42,114.25,112.86,113.94,701427,0.52,1.39,0.46,1.22,0.7,109.77,109.32,0.74,0.4,0.34,125638816,11.09,41.67,35.0,1.0,6.67,High Volatility / Hold Signal,114.22,109.77,105.32,0.08,55.49,Target Volume,Expected Range,9.38,Absent or Weak Trend
2023-07-10,110.78,113.42,110.62,112.9,908158,2.12,2.8,1.88,2.48,1.4,109.7,109.17,0.53,0.31,0.22,124937389,9.94,43.33,36.67,1.0,6.67,High Volatility / Hold Signal,114.02,109.7,105.39,0.08,54.82,Target Volume,Expected Range,9.35,Absent or Weak Trend
2023-07-07,110.49,111.05,109.48,110.68,1146698,0.19,1.57,0.17,1.42,0.78,109.66,109.04,0.37,0.26,0.11,124029231,6.55,45.0,38.33,1.0,6.67,High Volatility / Hold Signal,113.9,109.66,105.42,0.08,53.37,Target Volume,Expected Range,9.34,Absent or Weak Trend
2023-07-06,109.58,110.98,109.05,110.29,783401,0.71,1.93,0.64,1.75,0.97,109.68,108.98,0.38,0.23,0.15,122882533,6.45,46.67,40.0,1.0,6.67,High Volatility / Hold Signal,113.95,109.68,105.41,0.08,53.11,Target Volume,Expected Range,9.38,Absent or Weak Trend
2023-07-05,113.0,113.23,110.18,110.22,978314,-2.78,3.05,-2.52,2.77,1.52,109.68,108.94,0.43,0.19,0.24,122099132,8.33,48.33,41.67,1.0,6.67,High Volatility / Hold Signal,113.95,109.68,105.41,0.08,53.06,Target Volume,Expected Range,9.43,Absent or Weak Trend
