Date,Open,High,Low,Close,Volume,Change,Delta,Change_Ratio,Delta_Ratio,Variance,momentum
2023-08-01,53.53,54.94,52.71,54.79,104693,1.26,2.23,2.3,4.07,1.11,1
2023-07-31,53.07,53.84,53.03,53.75,81174,0.68,0.81,1.27,1.51,0.41,1
2023-07-28,52.56,53.35,51.96,53.0,103978,0.44,1.39,0.83,2.62,0.7,1
2023-07-27,53.9,54.99,51.64,52.16,251715,-1.74,3.35,-3.34,6.42,1.68,-1
2023-07-26,53.35,54.59,52.9,53.72,177472,0.37,1.69,0.69,3.15,0.85,1
2023-07-25,52.12,53.55,51.75,53.41,146714,1.29,1.8,2.42,3.37,0.9,1
2023-07-24,52.16,52.66,51.72,52.4,175026,0.24,0.94,0.46,1.79,0.47,1
2023-07-21,51.29,52.52,51.0,51.97,249529,0.68,1.52,1.31,2.92,0.76,1
2023-07-20,52.0,52.0,50.05,51.05,950500,-0.95,1.95,-1.86,3.82,0.98,-1
2023-07-19,53.23,54.48,53.08,54.41,113321,1.18,1.4,2.17,2.57,0.7,1
2023-07-18,53.05,54.48,52.94,53.7,64533,0.65,1.54,1.21,2.87,0.77,1
2023-07-17,53.25,54.75,52.35,53.5,50978,0.25,2.4,0.47,4.49,1.2,-1
2023-07-14,54.41,55.39,53.54,53.78,78039,-0.63,1.85,-1.17,3.44,0.93,-1
2023-07-13,53.51,54.34,53.46,54.06,22060,0.55,0.88,1.02,1.63,0.44,1
2023-07-12,54.0,54.19,53.32,53.57,22280,-0.43,0.87,-0.8,1.63,0.44,1
2023-07-11,52.84,53.31,52.51,53.12,21729,0.28,0.8,0.53,1.51,0.4,1
2023-07-10,52.03,53.0,52.03,52.96,14055,0.93,0.97,1.76,1.83,0.48,1
2023-07-07,51.51,53.11,51.11,52.21,34234,0.7,2.0,1.34,3.83,1.0,1
2023-07-06,51.31,51.6,50.61,51.23,35999,-0.08,0.99,-0.16,1.93,0.5,-1
2023-07-05,53.89,53.89,51.68,52.16,36365,-1.73,2.21,-3.32,4.24,1.11,-1
2023-07-03,54.34,54.98,53.35,53.54,25894,-0.8,1.63,-1.49,3.04,0.81,-1
2023-06-30,55.53,56.17,54.42,54.69,94922,-0.84,1.75,-1.54,3.2,0.88,-1
2023-06-29,55.18,55.65,54.39,54.7,30062,-0.48,1.26,-0.88,2.3,0.63,1
2023-06-28,53.8,54.6,53.35,54.18,26577,0.38,1.24,0.7,2.3,0.62,1
2023-06-27,53.86,57.54,53.04,53.4,34672,-0.46,4.5,-0.86,8.43,2.25,1
2023-06-26,51.46,53.55,51.46,53.35,36499,1.89,2.09,3.54,3.92,1.04,1
2023-06-23,51.47,52.02,50.47,51.93,94338,0.46,1.55,0.89,2.98,0.77,-1
2023-06-22,54.58,54.58,52.43,52.56,29280,-2.02,2.15,-3.85,4.1,1.08,-1
2023-06-21,53.62,54.5,52.92,53.69,27339,0.07,1.58,0.13,2.94,0.79,-1
2023-06-20,55.26,55.26,53.4,53.8,77513,-1.46,1.86,-2.71,3.46,0.93,-1
2023-06-16,56.29,56.29,54.91,55.37,46544,-0.92,1.38,-1.66,2.49,0.69,-1
2023-06-15,53.82,55.96,53.82,55.89,24222,2.07,2.14,3.7,3.83,1.07,1
2023-06-14,54.76,55.0,54.15,54.46,22454,-0.3,0.85,-0.55,1.56,0.43,-1
2023-06-13,54.01,55.0,53.5,54.69,35838,0.68,1.5,1.24,2.74,0.75,1
2023-06-12,52.87,54.21,52.37,53.83,39938,0.96,1.84,1.78,3.42,0.92,1
2023-06-09,53.59,53.65,51.87,53.05,30351,-0.54,1.78,-1.02,3.36,0.89,-1
2023-06-08,53.86,53.86,52.76,53.6,24009,-0.27,1.1,-0.49,2.05,0.55,-1
2023-06-07,51.36,54.6,51.36,54.17,70193,2.81,3.23,5.19,5.97,1.62,1
2023-06-06,47.88,51.1,47.65,50.69,37550,2.81,3.45,5.54,6.81,1.73,1
2023-06-05,50.48,50.48,47.83,48.13,47531,-2.35,2.65,-4.88,5.51,1.32,-1
2023-06-02,48.79,51.11,48.55,51.04,38428,2.25,2.56,4.41,5.02,1.28,1
2023-06-01,46.66,48.63,46.2,48.37,17620,1.71,2.43,3.54,5.02,1.21,1
2023-05-31,46.99,47.45,46.28,47.03,39836,0.04,1.17,0.09,2.49,0.59,1
2023-05-30,48.67,48.67,46.88,47.02,21863,-1.65,1.79,-3.51,3.81,0.89,-1
2023-05-26,47.08,48.86,46.88,48.77,25901,1.69,1.98,3.47,4.06,0.99,1
2023-05-25,48.31,48.92,46.94,47.34,18736,-0.97,1.98,-2.05,4.18,0.99,-1
2023-05-24,49.6,49.81,48.24,48.31,28140,-1.29,1.57,-2.67,3.25,0.79,-1
2023-05-23,49.75,50.62,49.68,50.0,23718,0.25,0.94,0.5,1.88,0.47,1
2023-05-22,48.42,49.74,48.4,49.47,41732,1.05,1.34,2.12,2.7,0.67,1
2023-05-19,48.98,49.63,47.79,48.43,44688,-0.55,1.84,-1.14,3.8,0.92,1
2023-05-18,47.25,48.44,47.13,48.39,39052,1.14,1.31,2.36,2.71,0.65,1
2023-05-17,46.77,48.02,46.17,47.79,30925,1.02,1.85,2.13,3.87,0.93,1
2023-05-16,46.95,47.12,45.76,46.48,30375,-0.47,1.36,-1.0,2.93,0.68,-1
2023-05-15,46.43,47.71,46.25,47.28,33024,0.85,1.46,1.8,3.09,0.73,1
2023-05-12,46.71,46.9,46.12,46.55,22053,-0.16,0.78,-0.34,1.68,0.39,-1
2023-05-11,46.27,47.03,46.15,46.89,30383,0.62,0.88,1.32,1.88,0.44,-1
2023-05-10,48.0,48.22,47.02,47.14,27603,-0.87,1.2,-1.84,2.56,0.6,-1
2023-05-09,47.87,48.32,47.29,47.29,29194,-0.58,1.04,-1.23,2.19,0.52,-1
2023-05-08,48.26,48.52,47.84,48.05,25343,-0.21,0.68,-0.44,1.42,0.34,1
2023-05-05,47.71,48.16,45.37,47.82,60836,0.11,2.79,0.23,5.83,1.39,1
2023-05-04,50.7,51.11,46.47,46.74,72917,-3.96,4.64,-8.47,9.93,2.32,-1
2023-05-03,54.0,55.32,51.1,51.11,55446,-2.89,4.22,-5.65,8.26,2.11,-1
2023-05-02,50.1,54.83,49.0,53.15,162945,3.05,5.83,5.74,10.97,2.91,1
2023-05-01,42.68,43.43,42.29,42.98,22248,0.3,1.14,0.7,2.65,0.57,1
2023-04-28,42.31,43.13,42.04,42.29,19557,-0.02,1.09,-0.05,2.58,0.55,1
2023-04-27,42.26,42.41,42.03,42.23,12265,-0.03,0.38,-0.06,0.9,0.19,1
2023-04-26,42.65,42.65,41.17,41.84,35012,-0.81,1.48,-1.94,3.54,0.74,-1
2023-04-25,43.89,43.95,42.9,43.08,25688,-0.81,1.05,-1.88,2.44,0.53,-1
2023-04-24,44.13,44.54,43.88,44.2,30970,0.07,0.65,0.16,1.48,0.33,-1
2023-04-21,44.25,44.7,43.92,44.2,26995,-0.05,0.78,-0.11,1.76,0.39,-1
2023-04-20,43.89,44.85,43.76,44.32,20141,0.43,1.09,0.97,2.46,0.55,-1
2023-04-19,44.08,44.64,43.92,44.37,18141,0.29,0.72,0.65,1.62,0.36,1
2023-04-18,44.88,44.88,43.77,44.34,14135,-0.54,1.11,-1.22,2.5,0.55,-1
2023-04-17,43.9,44.67,40.88,44.39,24669,0.49,3.79,1.1,8.54,1.89,1
2023-04-14,44.21,44.3,43.5,43.55,23367,-0.66,0.8,-1.52,1.84,0.4,-1
2023-04-13,44.04,44.14,43.45,43.93,17538,-0.11,0.69,-0.25,1.57,0.34,1
2023-04-12,44.5,44.5,43.41,43.69,25391,-0.81,1.09,-1.85,2.49,0.55,-1
2023-04-11,44.32,44.83,43.7,43.74,35228,-0.58,1.13,-1.33,2.59,0.57,-1
2023-04-10,42.52,44.42,42.52,43.99,45909,1.47,1.9,3.34,4.32,0.95,1
2023-04-06,42.96,43.21,42.12,42.75,17417,-0.21,1.09,-0.49,2.55,0.55,1
2023-04-05,43.19,43.65,42.36,42.63,25111,-0.56,1.29,-1.31,3.03,0.64,-1
2023-04-04,45.07,45.07,42.81,43.26,39855,-1.81,2.26,-4.18,5.22,1.13,-1
2023-04-03,45.05,45.47,44.49,45.22,36994,0.17,0.98,0.38,2.17,0.49,1
2023-03-31,44.73,45.08,44.0,44.9,42645,0.17,1.07,0.38,2.38,0.54,1
2023-03-30,45.71,45.71,44.05,44.21,28087,-1.5,1.66,-3.39,3.75,0.83,-1
2023-03-29,45.39,45.55,44.7,45.09,46482,-0.3,0.85,-0.67,1.89,0.42,1
2023-03-28,44.2,45.4,44.2,44.59,45688,0.39,1.2,0.87,2.69,0.6,-1
2023-03-27,45.34,45.88,44.14,44.71,43935,-0.63,1.74,-1.41,3.89,0.87,1
2023-03-24,43.53,44.97,42.65,44.45,71560,0.92,2.32,2.07,5.22,1.16,1
2023-03-23,43.67,44.4,43.38,43.93,96894,0.26,1.02,0.59,2.32,0.51,1
2023-03-22,43.84,44.66,43.43,43.7,44574,-0.14,1.23,-0.32,2.83,0.62,-1
2023-03-21,44.0,44.69,43.84,43.88,36865,-0.12,0.85,-0.27,1.94,0.42,1
2023-03-20,43.33,43.44,42.5,42.92,50589,-0.41,0.94,-0.96,2.19,0.47,1
2023-03-17,42.15,43.12,41.5,42.45,73207,0.3,1.62,0.71,3.82,0.81,-1
2023-03-16,41.05,43.33,41.05,42.54,31288,1.49,2.28,3.5,5.36,1.14,1
2023-03-15,40.18,42.06,40.18,42.0,115244,1.82,1.88,4.33,4.48,0.94,1
2023-03-14,42.59,43.45,41.45,41.7,71669,-0.89,2.0,-2.13,4.8,1.0,1
2023-03-13,41.2,41.59,39.88,40.95,108116,-0.25,1.71,-0.61,4.16,0.85,-1
2023-03-10,44.83,44.83,41.72,42.23,117182,-2.6,3.11,-6.16,7.36,1.55,-1
2023-03-09,50.94,51.53,43.92,45.35,348912,-5.59,7.61,-12.33,16.78,3.8,-1
2023-03-08,57.55,57.55,55.72,56.6,58796,-0.95,1.83,-1.68,3.23,0.91,-1
2023-03-07,57.23,57.32,56.39,57.06,39582,-0.17,0.92,-0.3,1.62,0.46,1
2023-03-06,57.89,58.0,56.08,56.88,45627,-1.01,1.91,-1.78,3.37,0.96,-1
2023-03-03,58.9,59.15,57.62,57.97,73773,-0.93,1.53,-1.6,2.64,0.77,-1
2023-03-02,57.47,58.86,57.18,58.79,69798,1.32,1.68,2.25,2.86,0.84,1
2023-03-01,57.1,58.26,56.78,58.1,57107,1.0,1.48,1.72,2.56,0.74,1
2023-02-28,56.65,57.92,56.2,57.41,105734,0.76,1.72,1.32,3.0,0.86,1
2023-02-27,54.3,56.94,53.98,56.84,52592,2.54,2.96,4.47,5.21,1.48,1
2023-02-24,53.23,54.26,53.1,53.98,36218,0.75,1.16,1.39,2.15,0.58,-1
2023-02-23,53.62,54.82,53.37,54.22,40163,0.6,1.45,1.11,2.67,0.73,1
2023-02-22,53.0,53.93,52.47,53.75,62499,0.75,1.46,1.4,2.72,0.73,1
2023-02-21,54.7,55.52,53.1,53.14,58623,-1.56,2.42,-2.94,4.55,1.21,-1
2023-02-17,55.0,55.78,54.42,55.47,49615,0.47,1.35,0.85,2.44,0.68,1
2023-02-16,53.79,55.42,53.65,54.74,45093,0.95,1.77,1.74,3.23,0.89,1
2023-02-15,53.6,54.82,53.14,54.53,50462,0.93,1.67,1.71,3.07,0.84,1
2023-02-14,54.79,54.98,53.04,53.94,58989,-0.85,1.94,-1.58,3.6,0.97,-1
2023-02-13,53.88,55.35,53.05,55.07,64412,1.19,2.3,2.16,4.18,1.15,1
2023-02-10,53.46,53.63,52.67,53.51,61574,0.05,0.96,0.09,1.79,0.48,1
2023-02-09,54.89,55.58,53.11,53.33,63624,-1.56,2.47,-2.93,4.63,1.23,-1
2023-02-08,53.8,54.7,53.48,54.43,61417,0.63,1.22,1.16,2.24,0.61,-1
2023-02-07,54.88,55.36,53.68,54.89,80246,0.01,1.68,0.02,3.06,0.84,-1
2023-02-06,56.81,56.81,54.62,55.09,53683,-1.72,2.19,-3.12,3.98,1.1,-1
2023-02-03,55.53,57.27,54.35,56.81,54169,1.28,2.92,2.25,5.14,1.46,1
2023-02-02,56.57,57.53,55.07,55.86,80918,-0.71,2.46,-1.27,4.4,1.23,-1
2023-02-01,55.08,57.0,54.85,56.07,53564,0.99,2.15,1.77,3.83,1.07,1
2023-01-31,52.86,55.0,52.66,54.9,31281,2.04,2.34,3.72,4.26,1.17,1
2023-01-30,52.9,53.7,52.51,53.03,58855,0.13,1.19,0.25,2.24,0.6,-1
2023-01-27,52.13,53.54,52.13,53.24,40650,1.11,1.41,2.08,2.65,0.7,1
2023-01-26,51.73,52.99,51.73,52.85,38576,1.12,1.26,2.12,2.38,0.63,1
2023-01-25,51.7,52.19,50.56,52.05,25718,0.35,1.63,0.67,3.13,0.81,1
2023-01-24,51.12,52.57,50.75,51.48,21739,0.36,1.82,0.7,3.54,0.91,-1
2023-01-23,50.25,52.0,49.95,51.91,34685,1.66,2.05,3.2,3.95,1.02,1
2023-01-20,49.78,50.55,47.99,50.25,37898,0.47,2.56,0.94,5.09,1.28,1
2023-01-19,49.31,50.29,48.13,49.37,53664,0.06,2.16,0.12,4.38,1.08,-1
2023-01-18,51.69,52.26,49.7,49.7,58958,-1.99,2.56,-4.0,5.15,1.28,-1
2023-01-17,50.72,51.79,50.56,51.71,49167,0.99,1.23,1.91,2.38,0.61,1
2023-01-13,50.33,51.65,50.21,50.97,59665,0.64,1.44,1.26,2.83,0.72,-1
